Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
32,Lilly Dickey Woods,63.275,60.55,57.575,60.35,60.35,61.342,65.242,64.558,63.608,64.383,64.367,63.7,58.708,60.25,63.65,63.433,64.583,64.433,65.325,66.692,65.083,67.092,67.242,66.417,66.325,61.333,65.342,63.492,66.4,63.883,65.767,66.583,65.933,66.483,66.975,66.15,62.925,59.192,64.767,62.975,65.283,67.517,68.425,63.8,65.392,64.508,64.508,64.508,64.508,64.508,64.508,64.508,68.967,69.325,67.908,69.45,67.108,67.317,69.292,67.258,69.517,65.892
33,Santa Cruz,47.208,47.333,43.333,45.45,44.533,42.508,48.142,45.183,39.708,46.308,44.392,44.825,48.225,43.95,48.292,45.842,46.275,47.358,47.158,45.242,43.892,48.683,49.908,46.45,45.242,40,45.117,47.508,46.775,45.95,47.95,49.583,54.592,46.383,45.767,47.075,48.058,44.633,43.867,42.4,44.8,48.508,48.208,47.65,51.775,46.383,46.383,46.383,46.383,46.383,46.383,46.383,51.183,51.833,51.883,51.45,49.192,48.933,48.858,52.333,50.242,48
34,SCBI,62.667,63.133,61.117,60.775,63.042,64.483,65.033,64.417,64.275,63.692,64.35,64.525,60.717,62.067,63.875,63.425,64.592,63.2,66.083,64.275,65.992,68.708,66.417,66.892,66.892,64.658,64.967,64.725,65.283,64.575,65.467,65.733,63.258,65.65,65.642,67.383,63.667,63.942,66.325,63.917,63.508,65.717,64.658,63.942,65.858,64.983,64.558,64.792,63.933,64.442,64.133,64.908,69.375,68.925,67.692,67.142,66.483,66.933,69.158,67.267,68.533,67.325
35,SERC,58.183,59.067,57.6,57.383,58.808,60.683,61.025,61.292,60.192,61.058,60.425,60.4,56.692,58.875,59.758,59.508,59.942,59.708,62.692,60.642,61.85,64.525,61.55,62.792,62.617,61.067,60.708,60.908,60.775,61.108,61.033,61,60.108,61.3,61.6,62.675,59.05,60.433,61.967,60.1,59.45,61.25,60.517,59.875,60.617,60.325,60.667,59.842,59.792,60.817,60.483,60.858,64.742,64.425,62.667,62.65,62.033,62.083,64.733,62.975,63.65,63.042
36,Tyson Research Center,61.45,55.467,53.408,56.842,56.75,55.667,61.942,62.075,60.35,60.725,60.242,59.5,56.058,57.175,60.067,58.408,60.442,61.15,61.658,62.192,59.775,61.817,64.067,61.758,61.183,55.683,61.592,60.342,60.158,58.583,61.308,62.242,61.817,61.15,62.775,61.617,58.575,54.283,58.808,59.583,60.992,62.133,64.775,61.483,61.95,60.133,60.133,60.133,60.133,60.133,60.133,60.133,63.3,64.617,63.267,63.517,63.475,63.242,64.783,62.567,63.667,59.508
37,Wabikon Lake Forest,70.4,65.667,65.308,66.808,63.575,65.542,64.633,64.458,65.275,65.675,65.667,66.717,62.817,63.992,67.133,64.45,64.75,68.058,66.442,65.025,66.975,67.475,69.867,67.667,66.633,64.45,70.183,65.333,69.475,69.025,68.242,68.725,67.95,66.358,66.483,68.192,65.933,63.267,63.917,66.5,66.725,68.792,68.717,65.85,69.975,66.592,66.592,66.592,66.592,66.592,66.592,66.592,66.933,69.2,68.058,68.775,69.792,71.158,71.308,69.5,71,70.333
38,Wind River,68.35,67.592,72.608,70.9,70.05,69.358,70.133,70.408,68.983,70.517,68.5,70.292,70.458,71.45,70.167,70.533,68.083,69.542,68.417,66.567,70.892,68.783,71.142,69.408,71.642,70.15,71.125,72.25,69.083,72.575,70.575,68.742,73.075,71.008,65.308,71.133,66.7,69.3,69.858,70.983,67.633,67.025,68.608,68.467,69.125,70.725,70.592,70.567,71.225,70.05,70.883,70.142,71.617,73.142,72.358,71.2,72.633,72.375,72.125,74.342,71.933,71.617
39,Yosemite National Park,46.15,46.792,43.758,42.692,43.308,41.208,48.008,43.833,39.792,44.183,44.008,44.325,46.867,44.108,47.433,43.758,47.442,46.225,47.758,45.292,44.967,47.775,48.975,45.767,44.783,39.783,43.842,48.567,46.033,46.167,46.733,51.3,54.15,47.842,47.833,45.867,46.983,42.95,42.125,42.25,43.45,46.092,47.575,46.225,49.117,46.058,46.058,46.058,46.058,46.058,46.058,46.058,54.308,55.308,57.392,53.892,51.975,52.975,52.767,56.058,54.058,51.892
40,Ilha do Cardoso,65.242,65.175,65.058,65.008,65.058,65.008,65,65.025,65.133,65.2,65.742,64.025,66.583,63.908,65.725,64.775,64.592,63.808,65.25,64.9,64.742,65.683,65.608,63.467,65.917,63.817,65.192,62.575,65.108,64.975,65.25,66.442,66.608,63.358,63.733,64.858,65.85,64.933,66.017,67.083,64.967,65.025,65.067,65.017,65.017,64.5,66.242,66.15,64.15,62.617,65.283,65.467,64,63.742,63.825,63.983,64.517,64.275,65.325,64.383,64.35,64.467
41,Manaus,81.5,81.767,81.467,81.392,81.067,81.492,81.542,81.858,81.383,81.183,81.075,80.908,80.808,81.183,81.183,81.433,81.533,81.458,81.283,81.083,81.825,81.975,82.067,82,81.475,81.992,82.108,81.5,81.992,82.233,81.75,82.617,82.35,82.358,81.908,82.492,81.475,81.225,81.558,82.067,82.058,82.367,81.958,81.7,81.7,82.35,81.683,81.667,83.217,82.425,81.708,82.108,80.25,79.825,79.95,79.417,79.7,80.225,81.117,80.658,81.6,82.283
42,Amacayacu,81.608,81.508,81.758,78.333,79.717,81.525,80.458,79.75,79.992,78.9,81.017,80.283,80.658,81.058,77.4,81.425,83.633,80.8,80.883,79.142,82.75,84.725,82.017,83.392,81.8,82.967,82.325,77.2,82.267,82.567,82.1,84.742,82.95,84.433,82.5,84.425,79.925,80.758,83.217,83.75,82.733,83.558,82.55,81.717,81.908,81.883,81.492,81.308,81.292,81.483,80.033,80.825,82.608,82.058,77.967,81.083,83.667,80.75,80.617,80.833,84.358,79.958
43,La Planada,79.25,76.217,76.867,73.233,76.75,79.117,77.908,70.292,78.308,77.125,78.283,78.608,77.008,81.075,75.983,79.142,79.617,78.267,77.133,80.042,81.925,82.067,80.433,82.717,84.65,81.708,80.342,80.642,78.25,79.842,81.783,80.975,77.9,80.708,79.492,80.967,78.625,83.85,83.017,81.633,82.825,83.383,80.758,80.233,80.233,80.258,76.608,81.725,82.35,80.308,76.05,75.783,81.767,80.442,82.242,82.858,82.567,84.2,82.3,82.725,83.517,83.983
44,Yasuni,81.35,78.8,78.95,72.542,77.925,81.392,78.217,72.683,78.858,76.775,80.283,79.592,78.533,81.633,74.958,81.675,82.8,79.25,77.9,80.083,83.3,85.333,82.242,84.517,84.65,83.592,81.092,76.608,80.275,81.333,82.9,84.117,80.458,83.808,81.158,84.067,80.283,85.325,84.942,83.45,84.075,84.65,82.283,81.675,81.675,81.658,82.95,80.433,83.258,80.592,78.967,81.275,83.242,81.892,82.208,83.525,83.508,84.325,83.142,82.942,84.208,84.175
45,Barro Colorado Island,52.217,46.167,54.75,55.725,56.575,52.108,55.05,52.517,52.642,61.283,54.183,55.717,55.067,54.792,54.167,55.433,54.683,57.75,58.592,56.833,57.275,53.992,56.2,58.192,59.417,57.05,59.25,67.708,55.067,56.517,58.9,56.092,58.233,58.492,58.742,56.925,57.617,58.783,59.933,60.883,58.275,57.642,57.525,57.417,57.417,59.125,55.717,56.725,57.425,58.2,58.583,56.083,58.683,57.7,57.808,55.067,54.417,54.9,58.55,59.833,56.792,57
46,Cocoli,50.55,44.575,52.867,53.775,54.683,50.042,52.775,50.483,51.125,59.508,52.15,54.017,53.2,53.025,52.425,53.283,52.6,55.8,56.475,55.083,55.467,51.842,54.225,56.242,57.55,54.975,57.258,66.6,52.958,54.417,56.9,53.983,56.1,56.492,56.675,54.667,55.35,56.617,57.817,59.1,56.375,55.767,55.567,55.442,55.442,57.108,53.625,53.883,55.367,57.033,56.967,54.492,56.025,55.983,55.092,52.875,51.542,52.033,56.817,56.525,54.333,55.175
47,San Lorenzo/ Sherman,52.217,46.167,54.75,55.725,56.575,52.108,55.05,52.517,52.642,61.283,54.183,55.717,55.067,54.792,54.167,55.433,54.683,57.75,58.592,56.833,57.275,53.992,56.2,58.192,59.417,57.05,59.25,67.708,55.067,56.517,58.9,56.092,58.233,58.492,58.742,56.925,57.617,58.783,59.933,60.883,58.275,57.642,57.525,57.417,57.417,59.125,55.717,56.725,57.425,58.2,58.583,56.083,58.683,57.7,57.808,55.067,54.417,54.9,58.55,59.833,56.792,57
48,Luquillo,59.483,59.033,58.95,58.792,58.683,59.325,58.75,58.608,59.392,58.983,56.633,58.283,57.025,57.658,59.617,57.483,59.458,58.167,56.992,58.9,60.467,61.025,60.842,61.7,61.708,61.383,61.508,61.242,63.308,60.992,60.792,60.975,60.142,60.683,60.483,58.533,61.242,60.058,60.692,59.575,60.025,59.667,60.058,60.233,59.875,62.85,61.108,65.025,63.4,61.917,61.617,61.392,60.217,60.608,60.867,58.692,57.85,59.6,58.7,62.633,59.733,60.375
49,Laupahoehoe ,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.258,68.375,68.967,69.942,70.742,70.275,70.242,70,69.608,70.142,70.217
50,Palamanui,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.633,67.775,68.775,69.583,70.45,70.017,69.908,69.6,69.183,69.85,69.867
51,Badagongshan,71.2,76.258,74.867,78.608,73.642,72.992,79.15,73.367,71.208,71.425,74.992,71.383,72.558,81.025,74.642,71.892,73.317,75.4,73.808,74.75,70.275,75.8,72.317,75.817,74.75,76.067,73.108,69.325,68.817,73.95,73.267,76.683,72.225,72.967,73.292,73.15,73.725,70.308,79.092,71.458,73.642,66.625,70.95,72.517,71.017,74.675,72.75,71.292,73.9,76.283,73.808,73.375,80.15,75.975,76.833,75.358,79.3,79.542,79.567,77.6,77.825,79.892
