Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
32,Lilly Dickey Woods,939.88,1052.4,1073.7,1085.9,1015.9,979.42,939.87,912.5,985.5,906.42,921.63,952.04,985.5,1009.8,988.54,942.92,915.54,906.42,903.38,933.79,1019,973.33,958.13,906.42,939.88,1031.1,973.33,952.04,894.25,1006.8,973.33,936.83,1046.3,964.21,967.25,967.25,1085.9,1131.5,912.5,973.33,1025,915.54,903.38,994.63,949,842.54,885.13,949,1019,903.38,942.92,939.88,866.88,918.58,988.54,958.13,1113.2,1015.9,997.67,1101.1,1015.9,1152.8
33,Santa Cruz,1040.3,1022,1055.5,1049.4,1037.2,1073.7,1079.8,1146.7,1177.1,1079.8,1116.3,1043.3,1046.3,1107.2,1046.3,1079.8,1055.5,1104.1,1055.5,1113.2,1092,1104.1,1085.9,1003.8,985.5,1128.5,1073.7,1079.8,1119.3,1085.9,1076.8,1043.3,1070.7,1171,1134.5,1076.8,1146.7,1146.7,1095,1092,1058.5,1146.7,1134.5,1025,1055.5,1064.6,1158.9,1040.3,1031.1,1131.5,1110.2,1092,1061.5,1107.2,1061.5,1052.4,1040.2,1040.2,1085.9,1092,1009.8,1037.2
34,SCBI,1040.3,1061.5,1113.2,1092,1046.3,1043.3,1037.2,939.88,1012.9,933.79,967.25,976.38,1082.8,1061.5,1052.4,991.58,964.21,1012.9,976.38,991.58,1028.1,964.21,1028.1,1019,997.67,1085.9,1076.8,1009.8,936.83,1025,994.62,1015.9,1028.1,988.54,1064.6,1015.9,1055.5,1070.7,939.88,1015.9,1073.7,955.08,997.67,997.67,994.63,882.08,894.25,930.75,915.54,848.62,1031.1,1009.8,909.46,979.42,1076.8,1095,1125.4,1076.8,1043.3,1058.5,964.21,1037.2
35,SERC,1107.2,1128.5,1161.9,1155.8,1098,1079.8,1104.1,994.62,1131.5,1040.2,1046.3,1055.5,1137.6,1125.4,1095,1079.8,1046.3,1107.2,1055.5,1092,1082.8,1019,1113.2,1113.2,1055.5,1137.6,1168,1082.8,985.5,1076.8,1012.9,1088.9,1092,1064.6,1168,1146.7,1152.8,1137.6,1022,1101.1,1143.7,1022,1055.5,1119.3,1152.8,1015.9,1116.3,1131.5,1095,1000.7,1095,1085.9,967.25,1070.7,1155.8,1186.2,1204.5,1155.8,1110.2,1286.6,1174.1,1271.4
36,Tyson Research Center,979.42,1171,1234.9,1219.7,1152.8,1146.7,1034.2,997.67,1085.9,1028.1,1019,1082.8,1119.3,1149.8,1085.9,1049.4,1022,1034.2,1009.8,1031.1,1198.4,1082.8,1028.1,1009.8,1052.4,1168,1067.6,1052.4,1076.8,1168,1070.7,1012.9,1143.7,1122.4,1076.8,1119.3,1204.5,1317,1101.1,1183.2,1183.2,1113.2,1040.2,1183.2,1116.3,1028.1,1019,1058.5,1174.1,1088.9,1140.6,1107.2,1088.9,1122.4,1216.7,1222.8,1253.2,1061.5,1073.7,1192.3,1180.2,1356.6
37,Wabikon Lake Forest,635.71,708.71,748.25,663.08,769.54,687.42,699.58,693.5,687.42,666.13,687.42,666.12,736.08,711.75,666.12,708.71,647.88,690.46,663.08,708.71,660.04,669.17,663.08,684.38,714.79,796.92,726.96,702.62,650.92,699.58,708.71,678.29,717.83,723.92,714.79,708.71,708.71,806.04,751.29,714.79,693.5,657,647.87,714.79,672.21,605.29,614.42,720.88,696.54,599.21,663.08,641.79,657,644.83,702.62,745.21,690.46,629.63,635.71,669.17,614.42,736.08
38,Wind River,818.21,833.42,730,693.5,714.79,766.5,736.08,830.38,760.42,766.5,806.04,745.21,723.92,705.67,803,778.67,863.83,775.63,766.5,812.13,803,803,827.33,803,766.5,763.46,793.88,736.08,769.54,696.54,720.88,751.29,711.75,754.33,821.25,769.54,866.87,806.04,772.58,787.79,787.79,860.79,711.75,818.21,763.46,766.5,693.5,705.67,711.75,809.08,857.75,827.33,827.33,754.33,754.33,827.33,748.25,757.38,809.08,693.5,702.62,760.42
39,Yosemite National Park,1341.4,1228.8,1231.9,1280.5,1298.8,1283.6,1222.7,1207.5,1347.5,1341.4,1295.8,1289.7,1219.7,1314,1228.8,1341.4,1241,1289.7,1228.8,1335.3,1283.6,1301.8,1298.8,1304.9,1241,1350.5,1374.8,1247.1,1314,1298.8,1335.3,1186.3,1143.7,1329.2,1332.3,1286.6,1341.4,1359.6,1323.1,1298.8,1311,1344.4,1277.5,1286.6,1192.3,1274.5,1259.3,1171,1311,1347.5,1393.1,1356.6,1295.8,1268.4,1256.2,1283.6,1323.1,1317,1307.9,1247.1,1253.2,1353.5
40,Ilha do Cardoso,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,Manaus,1174.1,1174.1,1155.8,1168,1146.7,1137.6,1174.1,1171,1158.9,1165,1146.7,1155.8,1183.2,1131.5,1149.8,1137.6,1168,1140.6,1171,1137.6,1146.7,1158.9,1155.8,1168,1168,1168,1158.9,1137.6,1168,1155.8,1161.9,1158.9,1140.6,1137.6,1152.8,1131.5,1177.1,1158.9,1122.4,1146.7,1155.8,1174.1,1149.8,1158.9,1168,1125.4,1186.2,1177.1,1113.2,1143.7,1180.2,1174.1,1198.4,1201.5,1216.7,1198.4,1186.3,1146.7,1198.4,1222.8,1183.2,1180.2
