Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
31,Harvard Forest,1313.5,971.5,1287.8,1244.6,1105.9,1094.1,877.7,1024.9,1244.8,1230.5,946.6,1029.7,836.2,785.9,777.4,850.7,1125.6,1032.3,1175.6,1003.7,940,1302.9,1216.1,1084.7,1404.9,1016.4,1247.1,873.5,1352.2,824.8,1095.2,1040.8,1260.9,1134.3,847.6,1180.8,976.5,978.4,1194.4,1268.7,1248.7,975.5,1027,1168.8,1076.6,1384.9,983.8,1109.1,1110.4,1203,893.9,1178.5,1378,1193.2,1348.7,1312.1,1107.6,1487.9,1266,1086.8,1525.4,1074.6
32,Lilly Dickey Woods,1067.6,1010.5,804.4,801.3,1094.4,1033.3,1220.2,1075.9,1037.5,865.3,1080.6,1007.8,777.1,936.7,995.5,982.8,1030.5,1221.7,1126.8,935.2,983.3,1100.6,1157.7,1141.9,1217.3,760,1080,1064.8,1274.6,895.3,1016.2,1191.4,1051.2,1113.8,1203.8,1005.4,807.5,879.5,1289.5,1219.3,950.7,874.9,1385.1,927.2,1091.2,1478.4,969.5,1205.2,868.2,1231,1264.4,1272.4,1288.9,1215.6,1207,1452.1,1010.3,1291.1,1296.7,918.4,1398,1017.1
33,Santa Cruz,559.4,853.9,323.3,576,607.6,464.3,652.5,975.5,406.6,550.5,463.8,750.5,710,551.9,674.2,505.5,805.3,557.9,919.2,786.8,344.9,501.1,984.7,566,558.1,302.8,405.8,839.6,766.7,604.1,734.6,1066.7,1265.4,423,410.2,684.3,535,413.5,371.4,329,546.5,642.1,772.1,563.8,870.9,965.9,611.5,1064.9,583.4,792.7,814.2,633.9,563.6,637.5,868.6,725.6,358.9,517.6,541.4,820.5,521.3,670.8
34,SCBI,918.5,1093.4,816.6,902.5,874.7,840.9,860.3,1035,910.5,916.3,1033.2,1011,785.2,780.6,748.6,944.8,921.8,887.2,866.5,1000.2,1064.2,1381.6,1060.8,940.3,1154.6,1036.3,804.1,1033.6,1249.2,893.4,887.4,1022.6,1209.2,1224.2,1022.6,850.2,1104.2,819.6,1128.4,1127.9,843.4,1025.3,1118.4,1119.8,1037.3,1546.1,966.1,1028.4,917.9,855.9,890.7,1037.8,1555.7,1078.5,920.6,1018.1,791,983.4,1128.6,805.2,1131.7,875.6
35,SERC,1185.7,1397.7,1168.8,877.6,1211,1129.5,1060.9,1367.3,1069,1244.6,1208.6,1058,980.3,942.7,831.5,991.3,946.3,997,1141.2,967.7,1385.9,1499.3,967.3,1040.6,1336.8,964,978,1076.4,1550.6,763.9,822,1032.3,1348.2,967.4,1216.7,1018.4,980.4,995.5,1424.9,1266.5,942.9,1149.2,1165.3,1222.3,1154.6,1364.3,1001.3,1096.2,1161,1157.2,993.5,1026.9,1582.1,1146.7,1116.6,1250.4,905,1150,1400.1,1113.7,1302.4,970.1
36,Tyson Research Center,1129.2,738,640.4,798.8,766.9,928.9,1202.8,910.5,829.8,830.1,1061.4,876.4,655.3,826.9,811.7,823.6,1033.1,923.5,1109.1,1106.8,880.1,911,1128.3,987.3,1015.3,649.3,1068,866.2,778.3,641.3,1221.6,1191.5,1047.7,1101.9,1371.5,899.4,942.1,836.7,706.7,1263.6,869.9,796.2,1580.8,974.7,922.6,1026.7,871,1094.9,727.3,906.4,874.5,876,914.6,1016.7,931.8,769.2,694.8,1348.7,1293.3,1076.4,1137.5,812.7
37,Wabikon Lake Forest,1018.7,656.5,859.1,864.8,778.5,711,679.2,686.4,1001,878.8,812.1,755.8,572,769.7,857.7,722.5,789.5,891.6,719.7,842.5,787.7,956.5,774.9,679.5,835.3,497.2,818.3,834.7,896.8,802.1,722.5,933.8,943.7,762.9,963.9,682.3,639.7,722.6,491.5,712.1,869.9,694.5,670.9,640.3,834.5,859,667.4,626.1,752.3,804.3,732.2,906,620.8,722.7,734.3,614.8,636.6,627,640.6,924.4,817.6,914
38,Wind River,2110.5,1124.9,2260.9,1895.9,2158.9,1781.8,1846.7,2114.7,1688.7,2144.8,2246.5,1862.8,1633.8,2215.4,1544.5,1736.4,1649.9,2180.2,1627.6,2087.8,2182.3,2166.9,1978.5,2077.3,2240.6,1445.7,1849.7,1354.6,1705.1,2110.5,1861.2,1927,2218.8,2064.7,1391.6,1867.4,1604.6,1739.7,1477.8,2019.8,1623.9,1667.8,1458.3,2017.7,2451.9,2990.9,2080.4,2259.8,1861.6,1529.8,1671.8,1519.6,1963.3,1519.3,1765.4,2250.2,1881.5,1710.6,1790.7,2078.9,1782,2315.3
39,Yosemite National Park,945.7,1134.1,615.9,942.8,1029.5,714.8,918.7,1075,653.2,821.7,583.5,877.1,1268.5,1149.8,1028.6,663.6,1156.4,874.7,1477.3,1174.7,811.3,624.5,1183.3,879.1,1048.4,458.3,723.8,1321.2,1104.6,1152,1028.1,1705.6,1851.2,740.9,761.1,1046.4,735.5,677.7,701.3,654.6,901,865.5,1054,876.2,1381.7,1669.4,817.1,1528.2,778.7,1045.8,1055.9,877.6,858,758,1070.9,919.9,309.6,729.9,489.5,988.5,752.1,888.4
40,Ilha do Cardoso,1794.6,1403.5,1862.5,1719,1518.3,1557.3,2467.8,2197.6,1710.6,2125.7,2598.4,1858.4,1894.3,1473.8,2263.7,2477.2,2140.5,1468.3,2068.6,2087.9,1851.5,2524.9,2142.9,1703.9,1923.3,2290.4,1897.7,1566.6,1903.7,2280.1,2240.6,2217.6,3197.5,1706.3,1377.6,2150.9,2109.9,1802.5,2268.6,2396.1,2242.6,2131.3,2304.7,2117,2753.8,2570.2,2368.5,2413.6,2139.6,2029.1,2513.2,2238.5,1614.9,2396.7,2556.1,1759,2148.7,2628.1,2484.3,2570.3,2596,2406.3
