"","Group.1","x"
"670",2013-02-25,-5.244557
"671",2013-02-26,-2.691383
"672",2013-02-27,3.226838
"673",2013-02-28,-0.3366098
"674",2013-03-01,-0.2414199
"675",2013-03-02,-2.643223
"676",2013-03-03,-4.056375
"677",2013-03-04,-5.40417
"678",2013-03-05,-3.424476
"679",2013-03-06,0.3610309
"680",2013-03-07,0.4676107
"681",2013-03-08,-0.163727
"682",2013-03-09,-4.498361
"683",2013-03-10,0.4199439
"684",2013-03-11,4.227474
"685",2013-03-12,1.470266
"686",2013-03-13,-1.575777
"687",2013-03-14,-2.276148
"688",2013-03-15,-2.477073
"689",2013-03-16,1.478876
"690",2013-03-17,0.9081609
"691",2013-03-18,-0.5151899
"692",2013-03-19,0.9085675
"693",2013-03-20,-2.803154
"694",2013-03-21,-4.523181
"695",2013-03-22,-4.276181
"696",2013-03-23,-4.255432
"697",2013-03-24,-2.211402
"698",2013-03-25,-0.166567
"699",2013-03-26,0.516837
"700",2013-03-27,-1.369036
"701",2013-03-28,1.249859
"702",2013-03-29,1.656647
"703",2013-03-30,0.7417834
"704",2013-03-31,5.052845
"705",2013-04-01,3.246709
"706",2013-04-02,-3.697536
"707",2013-04-03,-3.68248
"708",2013-04-04,-5.378524
"709",2013-04-05,2.363634
"710",2013-04-06,-2.409484
"711",2013-04-07,4.081031
"712",2013-04-08,10.16331
"713",2013-04-09,14.33892
"714",2013-04-10,17.80358
"715",2013-04-11,14.85743
"716",2013-04-12,11.6309
"717",2013-04-13,5.384445
"718",2013-04-14,4.545253
"719",2013-04-15,10.9569
"720",2013-04-16,11.47263
"721",2013-04-17,13.48696
"722",2013-04-18,14.99762
"723",2013-04-19,11.29077
"724",2013-04-20,4.802377
"725",2013-04-21,0.218408
"726",2013-04-22,1.490759
"727",2013-04-23,3.965503
"728",2013-04-24,8.552097
"729",2013-04-25,4.617982
"730",2013-04-26,2.759066
"731",2013-04-27,5.572717
"732",2013-04-28,10.71532
"733",2013-04-29,11.01309
"734",2013-04-30,11.35439
"735",2013-05-01,10.14175
"736",2013-05-02,4.897036
"737",2013-05-03,6.304931
"738",2013-05-04,4.061779
"739",2013-05-05,2.478055
"740",2013-05-06,7.644486
"741",2013-05-07,13.03197
"742",2013-05-08,10.00792
"743",2013-05-09,9.206549
"744",2013-05-10,12.93771
"745",2013-05-11,14.98208
"746",2013-05-12,6.668146
"747",2013-05-13,2.954876
"748",2013-05-14,0.418468
"749",2013-05-15,9.113386
"750",2013-05-16,17.2413
"751",2013-05-17,12.60989
"752",2013-05-18,14.92692
"753",2013-05-19,14.92166
"754",2013-05-20,18.28005
"755",2013-05-21,16.75763
"756",2013-05-22,18.22195
"757",2013-05-23,15.61178
"758",2013-05-24,5.514365
"759",2013-05-25,3.240098
"760",2013-05-26,4.414935
"761",2013-05-27,5.887495
"762",2013-05-28,12.37473
"763",2013-05-29,16.75801
"764",2013-05-30,17.58754
"765",2013-05-31,16.89264
"766",2013-06-01,18.49291
"767",2013-06-02,20.01969
"768",2013-06-03,16.16207
"769",2013-06-04,10.5572
"770",2013-06-05,12.06461
"771",2013-06-06,15.18343
"772",2013-06-07,17.20306
