"year","sites.sitename","emission_units","emission_type","value"
"1753","Harvard_Forest","kg m-2 s-1","NOx",1.84713185861464e-12
"1753","Heishiding","kg m-2 s-1","NOx",8.71823273973895e-13
"1753","Hong_Kong","kg m-2 s-1","NOx",2.11155438562287e-14
"1753","Huai_Kha_Khaeng","kg m-2 s-1","NOx",1.76075839733371e-13
"1753","Ilha_do_Cardoso","kg m-2 s-1","NOx",1.33382599150212e-15
"1753","Indian_Cave","kg m-2 s-1","NOx",1.07824329146641e-13
"1753","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","NOx",4.31215638364129e-14
"1753","Jianfengling","kg m-2 s-1","NOx",1.07700775245833e-12
"1753","Kenting","kg m-2 s-1","NOx",6.37111481005115e-14
"1753","Khao_Chong","kg m-2 s-1","NOx",3.71887838517101e-13
"1753","Korup","kg m-2 s-1","NOx",3.45595334440936e-13
"1753","Kuala_Belalong","kg m-2 s-1","NOx",3.33725065751849e-14
"1753","La_Planada","kg m-2 s-1","NOx",1.96202341211978e-13
"1753","Lambir","kg m-2 s-1","NOx",2.04411874534018e-14
"1753","Laupahoehoe","kg m-2 s-1","NOx",5.96573674283756e-13
"1753","Lienhuachih","kg m-2 s-1","NOx",8.00982149886314e-13
"1753","Lilly_Dickey_Woods","kg m-2 s-1","NOx",4.11099368099815e-14
"1753","Luquillo","kg m-2 s-1","NOx",9.03274550053118e-13
"1753","Manaus","kg m-2 s-1","NOx",6.70945663571453e-16
"1753","Michigan_Big_Woods","kg m-2 s-1","NOx",2.30416729768247e-13
"1753","Mo_Singto","kg m-2 s-1","NOx",3.46701917764986e-13
"1753","Mpala","kg m-2 s-1","NOx",4.43058145018974e-13
"1753","Mudumalai","kg m-2 s-1","NOx",1.75176797438496e-12
"1753","Nanjenshan","kg m-2 s-1","NOx",4.10715434948918e-13
"1753","Ngel_Nyaki","kg m-2 s-1","NOx",3.32268531824432e-13
"1753","Niobara","kg m-2 s-1","NOx",3.17863779754376e-14
"1753","Nonggang","kg m-2 s-1","NOx",8.695763801679e-13
"1753","Ordway-Swisher","kg m-2 s-1","NOx",5.3140896182099e-14
"1753","Palamanui","kg m-2 s-1","NOx",5.20680573801175e-13
"1753","Palanan","kg m-2 s-1","NOx",1.2342199871913e-13
"1753","Pasoh","kg m-2 s-1","NOx",3.96069273061463e-14
"1753","Rabi","kg m-2 s-1","NOx",1.42194528407705e-14
"1753","San_Lorenzo","kg m-2 s-1","NOx",9.63161719129445e-14
"1753","Santa_Cruz","kg m-2 s-1","NOx",2.60789710432772e-13
"1753","Scotty_Creek","kg m-2 s-1","NOx",2.19083781457268e-16
"1753","Sinharaja","kg m-2 s-1","NOx",1.42612861082046e-12
"1753","Smithsonian_Conservation_Biology_Institute","kg m-2 s-1","NOx",6.22927971531006e-13
"1753","Smithsonian_Environmental_Research_Center","kg m-2 s-1","NOx",1.72310699424058e-12
"1753","Speulderbos","kg m-2 s-1","NOx",9.75733879002121e-12
"1753","Tiantongshan","kg m-2 s-1","NOx",3.80215985716745e-12
"1753","Traunstein","kg m-2 s-1","NOx",1.81270587427983e-12
"1753","Tyson_Research_Center","kg m-2 s-1","NOx",2.95533001528489e-13
"1753","University_of_Maryland,_Baltimore_County","kg m-2 s-1","NOx",2.61074890523068e-12
"1753","Utah_Forest_Dynamics_Plot","kg m-2 s-1","NOx",1.23712183343296e-14
"1753","Wabikon","kg m-2 s-1","NOx",5.82625674935562e-15
"1753","Wanang","kg m-2 s-1","NOx",2.10658204918795e-14
"1753","Wind_River","kg m-2 s-1","NOx",2.11168214176597e-14
"1753","Wytham_Woods","kg m-2 s-1","NOx",2.09234099840462e-11
"1753","Xishuangbanna","kg m-2 s-1","NOx",2.0978198655137e-13
"1753","Yasuni","kg m-2 s-1","NOx",2.24144984707481e-14
"1753","Yosemite_National_Park","kg m-2 s-1","NOx",7.83246022739294e-15
"1753","Zofin","kg m-2 s-1","NOx",2.01022957672513e-12
"1754","Amacayacu","kg m-2 s-1","NOx",8.82446703917755e-15
"1754","Badagongshan","kg m-2 s-1","NOx",1.01545442552904e-12
"1754","Baishanzu","kg m-2 s-1","NOx",2.84793775086838e-13
"1754","Baotianman","kg m-2 s-1","NOx",1.36545738569651e-12
"1754","Barro_Colorado_Island","kg m-2 s-1","NOx",9.69703284700873e-14
"1754","Bidoup","kg m-2 s-1","NOx",4.48921529426017e-13
"1754","Bukit_Timah","kg m-2 s-1","NOx",1.01086162865936e-12
"1754","Changbaishan","kg m-2 s-1","NOx",4.28780048593254e-13
"1754","Cocoli","kg m-2 s-1","NOx",1.35593286294649e-13
"1754","Danum_Valley","kg m-2 s-1","NOx",1.29324665073195e-14
"1754","Daxinganling","kg m-2 s-1","NOx",6.75909782616336e-14
"1754","Dinghushan","kg m-2 s-1","NOx",3.10883881910807e-12
"1754","Doi_Inthanon","kg m-2 s-1","NOx",1.69865296543556e-13
"1754","Donglingshan","kg m-2 s-1","NOx",3.67364375317562e-13
"1754","Fushan","kg m-2 s-1","NOx",5.68213270768734e-13
"1754","Gutianshan","kg m-2 s-1","NOx",8.32048524453426e-13
"1754","Haliburton","kg m-2 s-1","NOx",3.32760046408998e-14
"1754","Harvard_Forest","kg m-2 s-1","NOx",1.87797198199284e-12
"1754","Heishiding","kg m-2 s-1","NOx",8.74577094975966e-13
"1754","Hong_Kong","kg m-2 s-1","NOx",2.11869240398595e-14
"1754","Huai_Kha_Khaeng","kg m-2 s-1","NOx",1.76446731320535e-13
"1754","Ilha_do_Cardoso","kg m-2 s-1","NOx",1.34599963008376e-15
"1754","Indian_Cave","kg m-2 s-1","NOx",1.09213562706509e-13
"1754","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","NOx",4.30846459583464e-14
"1754","Jianfengling","kg m-2 s-1","NOx",1.08026915795405e-12
"1754","Kenting","kg m-2 s-1","NOx",6.36407095685369e-14
"1754","Khao_Chong","kg m-2 s-1","NOx",3.72576782082114e-13
"1754","Korup","kg m-2 s-1","NOx",3.45601494064528e-13
"1754","Kuala_Belalong","kg m-2 s-1","NOx",3.34143646670372e-14
"1754","La_Planada","kg m-2 s-1","NOx",1.96319349072762e-13
"1754","Lambir","kg m-2 s-1","NOx",2.04569761475386e-14
"1754","Laupahoehoe","kg m-2 s-1","NOx",6.02699180236106e-13
"1754","Lienhuachih","kg m-2 s-1","NOx",8.0266184247874e-13
"1754","Lilly_Dickey_Woods","kg m-2 s-1","NOx",4.18033977323438e-14
"1754","Luquillo","kg m-2 s-1","NOx",9.11103871672717e-13
"1754","Manaus","kg m-2 s-1","NOx",6.78165900575145e-16
"1754","Michigan_Big_Woods","kg m-2 s-1","NOx",2.34560113508365e-13
"1754","Mo_Singto","kg m-2 s-1","NOx",3.47289678162251e-13
"1754","Mpala","kg m-2 s-1","NOx",4.43110072373805e-13
"1754","Mudumalai","kg m-2 s-1","NOx",1.7558658045873e-12
"1754","Nanjenshan","kg m-2 s-1","NOx",4.1122129255414e-13
"1754","Ngel_Nyaki","kg m-2 s-1","NOx",3.3244573916381e-13
"1754","Niobara","kg m-2 s-1","NOx",3.23202195194566e-14
"1754","Nonggang","kg m-2 s-1","NOx",8.7251005167566e-13
"1754","Ordway-Swisher","kg m-2 s-1","NOx",5.55258789107491e-14
"1754","Palamanui","kg m-2 s-1","NOx",5.26367211231245e-13
"1754","Palanan","kg m-2 s-1","NOx",1.23648654783178e-13
"1754","Pasoh","kg m-2 s-1","NOx",3.96770046712133e-14
"1754","Rabi","kg m-2 s-1","NOx",1.42597610211479e-14
"1754","San_Lorenzo","kg m-2 s-1","NOx",9.69703284700873e-14
"1754","Santa_Cruz","kg m-2 s-1","NOx",2.645309209443e-13
"1754","Scotty_Creek","kg m-2 s-1","NOx",2.21994492462366e-16
"1754","Sinharaja","kg m-2 s-1","NOx",1.42867336206829e-12
"1754","Smithsonian_Conservation_Biology_Institute","kg m-2 s-1","NOx",6.35599007486615e-13
"1754","Smithsonian_Environmental_Research_Center","kg m-2 s-1","NOx",1.7564641786515e-12
"1754","Speulderbos","kg m-2 s-1","NOx",9.76844992936e-12
"1754","Tiantongshan","kg m-2 s-1","NOx",3.81679818569421e-12
"1754","Traunstein","kg m-2 s-1","NOx",1.81762187393471e-12
"1754","Tyson_Research_Center","kg m-2 s-1","NOx",3.0015975160798e-13
"1754","University_of_Maryland,_Baltimore_County","kg m-2 s-1","NOx",2.66012575158427e-12
"1754","Utah_Forest_Dynamics_Plot","kg m-2 s-1","NOx",1.25794395851915e-14
"1754","Wabikon","kg m-2 s-1","NOx",5.92410674981115e-15
"1754","Wanang","kg m-2 s-1","NOx",2.11112544921372e-14
"1754","Wind_River","kg m-2 s-1","NOx",2.14587889604918e-14
"1754","Wytham_Woods","kg m-2 s-1","NOx",2.09456986192849e-11
"1754","Xishuangbanna","kg m-2 s-1","NOx",2.10302646269102e-13
"1754","Yasuni","kg m-2 s-1","NOx",2.24879533420555e-14
"1754","Yosemite_National_Park","kg m-2 s-1","NOx",8.18716891922707e-15
"1754","Zofin","kg m-2 s-1","NOx",2.01709375893496e-12
"1755","Amacayacu","kg m-2 s-1","NOx",8.82545237672321e-15
"1755","Badagongshan","kg m-2 s-1","NOx",1.01940607647941e-12
"1755","Baishanzu","kg m-2 s-1","NOx",2.86236048155798e-13
"1755","Baotianman","kg m-2 s-1","NOx",1.37152366964629e-12
"1755","Barro_Colorado_Island","kg m-2 s-1","NOx",9.76277960790207e-14
"1755","Bidoup","kg m-2 s-1","NOx",4.49444075909639e-13
"1755","Bukit_Timah","kg m-2 s-1","NOx",1.01450528868923e-12
"1755","Changbaishan","kg m-2 s-1","NOx",4.30321311014627e-13
"1755","Cocoli","kg m-2 s-1","NOx",1.36561741573711e-13
"1755","Danum_Valley","kg m-2 s-1","NOx",1.2957203998665e-14
"1755","Daxinganling","kg m-2 s-1","NOx",6.7795462133174e-14
"1755","Dinghushan","kg m-2 s-1","NOx",3.1158807054421e-12
"1755","Doi_Inthanon","kg m-2 s-1","NOx",1.70227151559721e-13
"1755","Donglingshan","kg m-2 s-1","NOx",3.68731576068165e-13
"1755","Fushan","kg m-2 s-1","NOx",5.70406713619383e-13
"1755","Gutianshan","kg m-2 s-1","NOx",8.34913281360598e-13
"1755","Haliburton","kg m-2 s-1","NOx",3.519065343547e-14
"1755","Harvard_Forest","kg m-2 s-1","NOx",1.9087679969641e-12
"1755","Heishiding","kg m-2 s-1","NOx",8.77328076723597e-13
"1755","Hong_Kong","kg m-2 s-1","NOx",2.12701460592486e-14
"1755","Huai_Kha_Khaeng","kg m-2 s-1","NOx",1.76817747421542e-13
"1755","Ilha_do_Cardoso","kg m-2 s-1","NOx",1.358077117191e-15
"1755","Indian_Cave","kg m-2 s-1","NOx",1.10601784273764e-13
"1755","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","NOx",4.30477940429706e-14
"1755","Jianfengling","kg m-2 s-1","NOx",1.08352738029994e-12
"1755","Kenting","kg m-2 s-1","NOx",6.35707411001432e-14
"1755","Khao_Chong","kg m-2 s-1","NOx",3.73265635014599e-13
