"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","dtr",1923,10,9.4,0
"Amacayacu","dtr",1923,11,9.1,0
"Amacayacu","dtr",1923,12,8.5,0
"Amacayacu","dtr",1924,1,8.6,0
"Amacayacu","dtr",1924,2,8.7,0
"Amacayacu","dtr",1924,3,8.6,0
"Amacayacu","dtr",1924,4,8,0
"Amacayacu","dtr",1924,5,7.9,0
"Amacayacu","dtr",1924,6,8.4,0
"Amacayacu","dtr",1924,7,9.4,0
"Amacayacu","dtr",1924,8,9.7,0
"Amacayacu","dtr",1924,9,10,0
"Amacayacu","dtr",1924,10,9.4,0
"Amacayacu","dtr",1924,11,9.1,0
"Amacayacu","dtr",1924,12,8.5,0
"Amacayacu","dtr",1925,1,8.6,0
"Amacayacu","dtr",1925,2,8.7,0
"Amacayacu","dtr",1925,3,8.6,0
"Amacayacu","dtr",1925,4,8,0
"Amacayacu","dtr",1925,5,7.9,0
"Amacayacu","dtr",1925,6,8.4,0
"Amacayacu","dtr",1925,7,9.4,0
"Amacayacu","dtr",1925,8,9.7,0
"Amacayacu","dtr",1925,9,10,0
"Amacayacu","dtr",1925,10,9.4,0
"Amacayacu","dtr",1925,11,9.1,0
"Amacayacu","dtr",1925,12,8.5,0
"Amacayacu","dtr",1926,1,8.6,0
"Amacayacu","dtr",1926,2,8.7,0
"Amacayacu","dtr",1926,3,8.6,0
"Amacayacu","dtr",1926,4,8,0
"Amacayacu","dtr",1926,5,7.9,0
"Amacayacu","dtr",1926,6,8.4,0
"Amacayacu","dtr",1926,7,9.4,0
"Amacayacu","dtr",1926,8,9.7,0
"Amacayacu","dtr",1926,9,10,0
"Amacayacu","dtr",1926,10,9.4,0
"Amacayacu","dtr",1926,11,9.1,0
"Amacayacu","dtr",1926,12,8.5,0
"Amacayacu","dtr",1927,1,8.6,0
"Amacayacu","dtr",1927,2,8.7,0
"Amacayacu","dtr",1927,3,8.6,0
"Amacayacu","dtr",1927,4,8,0
"Amacayacu","dtr",1927,5,7.9,0
