"sites.sitename","Year_month","mean_TMP","mean_TMN"
"Wanang","1991-06",17.7000916244921,22.6561394666944
"Wanang","1991-07",17.7000916244921,22.6561394666944
"Wanang","1991-08",17.7000916244921,22.6561394666944
"Wanang","1991-09",17.7000916244921,22.6561394666944
"Wanang","1991-10",17.7000916244921,22.6561394666944
"Wanang","1991-11",17.7000916244921,22.6561394666944
"Wanang","1991-12",17.7000916244921,22.6561394666944
"Wanang","1992-01",17.7000916244921,22.6561394666944
"Wanang","1992-02",17.7000916244921,22.6561394666944
"Wanang","1992-03",17.7000916244921,22.6561394666944
"Wanang","1992-04",17.7000916244921,22.6561394666944
"Wanang","1992-05",17.7000916244921,22.6561394666944
"Wanang","1992-06",17.7000916244921,22.6561394666944
"Wanang","1992-07",17.7000916244921,22.6561394666944
"Wanang","1992-08",17.7000916244921,22.6561394666944
"Wanang","1992-09",17.7000916244921,22.6561394666944
"Wanang","1992-10",17.7000916244921,22.6561394666944
"Wanang","1992-11",17.7000916244921,22.6561394666944
"Wanang","1992-12",17.7000916244921,22.6561394666944
"Wanang","1993-01",17.7000916244921,22.6561394666944
"Wanang","1993-02",17.7000916244921,22.6561394666944
"Wanang","1993-03",17.7000916244921,22.6561394666944
"Wanang","1993-04",17.7000916244921,22.6561394666944
"Wanang","1993-05",17.7000916244921,22.6561394666944
"Wanang","1993-06",17.7000916244921,22.6561394666944
"Wanang","1993-07",17.7000916244921,22.6561394666944
"Wanang","1993-08",17.7000916244921,22.6561394666944
"Wanang","1993-09",17.7000916244921,22.6561394666944
"Wanang","1993-10",17.7000916244921,22.6561394666944
"Wanang","1993-11",17.7000916244921,22.6561394666944
"Wanang","1993-12",17.7000916244921,22.6561394666944
"Wanang","1994-01",17.7000916244921,22.6561394666944
"Wanang","1994-02",17.7000916244921,22.6561394666944
"Wanang","1994-03",17.7000916244921,22.6561394666944
"Wanang","1994-04",17.7000916244921,22.6561394666944
"Wanang","1994-05",17.7000916244921,22.6561394666944
"Wanang","1994-06",17.7000916244921,22.6561394666944
"Wanang","1994-07",17.7000916244921,22.6561394666944
"Wanang","1994-08",17.7000916244921,22.6561394666944
"Wanang","1994-09",17.7000916244921,22.6561394666944
"Wanang","1994-10",17.7000916244921,22.6561394666944
"Wanang","1994-11",17.7000916244921,22.6561394666944
"Wanang","1994-12",17.7000916244921,22.6561394666944
"Wanang","1995-01",17.7000916244921,22.6561394666944
"Wanang","1995-02",17.7000916244921,22.6561394666944
"Wanang","1995-03",17.7000916244921,22.6561394666944
"Wanang","1995-04",17.7000916244921,22.6561394666944
"Wanang","1995-05",17.7000916244921,22.6561394666944
"Wanang","1995-06",17.7000916244921,22.6561394666944
"Wanang","1995-07",17.7000916244921,22.6561394666944
"Wanang","1995-08",17.7000916244921,22.6561394666944
"Wanang","1995-09",17.7000916244921,22.6561394666944
"Wanang","1995-10",17.7000916244921,22.6561394666944
"Wanang","1995-11",17.7000916244921,22.6561394666944
"Wanang","1995-12",17.7000916244921,22.6561394666944
"Wanang","1996-01",17.7000916244921,22.6561394666944
"Wanang","1996-02",17.7000916244921,22.6561394666944
"Wanang","1996-03",17.7000916244921,22.6561394666944
"Wanang","1996-04",17.7000916244921,22.6561394666944
"Wanang","1996-05",17.7000916244921,22.6561394666944
"Wanang","1996-06",17.7000916244921,22.6561394666944
"Wanang","1996-07",17.7000916244921,22.6561394666944
"Wanang","1996-08",17.7000916244921,22.6561394666944
"Wanang","1996-09",17.7000916244921,22.6561394666944
"Wanang","1996-10",17.7000916244921,22.6561394666944
"Wanang","1996-11",17.7000916244921,22.6561394666944
"Wanang","1996-12",17.7000916244921,22.6561394666944
"Wanang","1997-01",17.7000916244921,22.6561394666944
"Wanang","1997-02",17.7000916244921,22.6561394666944
"Wanang","1997-03",17.7000916244921,22.6561394666944
"Wanang","1997-04",17.7000916244921,22.6561394666944
"Wanang","1997-05",17.7000916244921,22.6561394666944
"Wanang","1997-06",17.7000916244921,22.6561394666944
"Wanang","1997-07",17.7000916244921,22.6561394666944
"Wanang","1997-08",17.7000916244921,22.6561394666944
"Wanang","1997-09",17.7000916244921,22.6561394666944
"Wanang","1997-10",17.7000916244921,22.6561394666944
"Wanang","1997-11",17.7000916244921,22.6561394666944
"Wanang","1997-12",17.7000916244921,22.6561394666944
"Wanang","1998-01",17.7000916244921,22.6561394666944
"Wanang","1998-02",17.7000916244921,22.6561394666944
"Wanang","1998-03",17.7000916244921,22.6561394666944
"Wanang","1998-04",17.7000916244921,22.6561394666944
"Wanang","1998-05",17.7000916244921,22.6561394666944
"Wanang","1998-06",17.7000916244921,22.6561394666944
"Wanang","1998-07",17.7000916244921,22.6561394666944
"Wanang","1998-08",17.7000916244921,22.6561394666944
"Wanang","1998-09",17.7000916244921,22.6561394666944
"Wanang","1998-10",17.7000916244921,22.6561394666944
"Wanang","1998-11",17.7000916244921,22.6561394666944
"Wanang","1998-12",17.7000916244921,22.6561394666944
"Wanang","1999-01",17.7000916244921,22.6561394666944
