"Description: Standardized Precipitation Evapotranspiration Index (SPEI) at timescales between 1 and 48 months. Each column is a time series of monthly SPEI values starting on January 1901. Units: standard (Z) scores, i.e. normally distributed values with mean 0 and unit standard deviation. Missing value: NA. Not a number: nan. Version: 2.5 - July 2017. Comment: Using Penman equation for ET. Creators: Santiago Beguería - santiago.begueria_add_the_at_symbol_csic.es and Sergio Vicente-Serrano - svicen_add_the_at_symbol_ipe.csic.es."
SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
0.94901,0.41174,0.18397,-0.14014,-0.43101,-0.57682,-0.92463,-1.26456,-1.10293,-1.19998,-1.02063,-1.21815,-0.44801,-0.48419,-0.33516,-0.13925,0.04637,0.15397,0.34611,0.41632,0.53833,0.40245,0.28515,-0.04701,-0.02527,-0.21162,-0.25381,-0.20486,-0.01054,-0.03408,0.19347,0.13857,-0.15474,-0.1108,0.20419,0.20058,0.44369,0.60135,0.86273,0.89173,0.73813,0.71478,NA,NA,NA,NA,NA,NA
0.68655,1.04761,0.60841,0.40363,0.12488,-0.12687,-0.26046,-0.62984,-0.96038,-0.81958,-0.96747,-0.81425,-1.00502,-0.26606,-0.30442,-0.16532,0.01443,0.19131,0.29572,0.46439,0.52617,0.62966,0.50691,0.39898,0.07585,0.09102,-0.09756,-0.13232,-0.0816,0.10795,0.08736,0.30609,0.25483,-0.0367,0.00333,0.29992,0.29292,0.52456,0.67394,0.93063,0.95423,0.80588,0.78498,NA,NA,NA,NA,NA
-0.53358,0.0101,0.50249,0.21477,0.08098,-0.13805,-0.36673,-0.47635,-0.76191,-1.06157,-0.94156,-1.08494,-0.93854,-1.10974,-0.40307,-0.44636,-0.30972,-0.12967,0.05485,0.15864,0.32773,0.40175,0.50436,0.39043,0.2867,-0.03237,-0.01815,-0.21147,-0.24428,-0.19745,-0.00219,-0.02266,0.20542,0.14915,-0.14226,-0.10354,0.19554,0.19303,0.43175,0.58771,0.84939,0.87483,0.72283,0.69961,NA,NA,NA,NA
-0.63591,-0.95652,-0.49052,0.06861,-0.11246,-0.22361,-0.42662,-0.63724,-0.74731,-0.98941,-1.30907,-1.19857,-1.30958,-1.12625,-1.28896,-0.58267,-0.62712,-0.47966,-0.29709,-0.1179,-0.0136,0.16131,0.2361,0.33825,0.21454,0.11617,-0.19498,-0.18043,-0.36199,-0.39531,-0.3488,-0.16304,-0.17956,0.04598,-0.00532,-0.29167,-0.24505,0.04746,0.0547,0.29604,0.45519,0.71504,0.74483,0.59837,0.57621,NA,NA,NA
-0.97856,-1.30065,-1.47718,-1.00049,-0.38808,-0.48928,-0.57961,-0.76904,-0.96566,-1.05101,-1.26248,-1.57659,-1.5264,-1.54862,-1.35851,-1.47649,-0.83328,-0.86365,-0.72277,-0.54472,-0.37377,-0.27039,-0.08218,-0.0021,0.10188,-0.01615,-0.1103,-0.39872,-0.37967,-0.54586,-0.57736,-0.53781,-0.35809,-0.37732,-0.14999,-0.19982,-0.47419,-0.42073,-0.12658,-0.11318,0.12658,0.28842,0.55619,0.58503,0.43753,0.41324,NA,NA
-0.92065,-1.3347,-1.43064,-1.61122,-1.23843,-0.70715,-0.7567,-0.81115,-0.98103,-1.17165,-1.26235,-1.44108,-1.71043,-1.63097,-1.64319,-1.46725,-1.55372,-0.99087,-1.00939,-0.88147,-0.71561,-0.55043,-0.45194,-0.2607,-0.18063,-0.06452,-0.18601,-0.27969,-0.5465,-0.52839,-0.67939,-0.70862,-0.67367,-0.50226,-0.51975,-0.29773,-0.34116,-0.60222,-0.54592,-0.26401,-0.24441,-0.0094,0.15209,0.42019,0.44961,0.30396,0.27937,NA
0.13543,-0.64277,-1.11107,-1.27024,-1.46189,-1.16391,-0.65345,-0.70888,-0.76366,-0.93823,-1.14058,-1.23273,-1.41422,-1.67278,-1.58084,-1.61685,-1.43896,-1.52123,-0.96552,-0.98359,-0.85226,-0.69395,-0.53151,-0.43578,-0.24658,-0.16628,-0.04904,-0.17297,-0.26843,-0.53496,-0.51464,-0.66299,-0.69406,-0.65781,-0.48682,-0.50648,-0.29016,-0.33216,-0.59145,-0.53551,-0.26191,-0.24106,-0.01085,0.149,0.41618,0.44609,0.30208,0.2765
0.61715,0.43331,-0.20896,-0.79881,-1.05513,-1.27392,-0.9947,-0.4979,-0.56991,-0.64812,-0.81954,-1.0266,-1.12015,-1.32416,-1.60568,-1.48144,-1.53902,-1.35904,-1.44646,-0.87296,-0.89137,-0.76597,-0.60308,-0.44559,-0.34852,-0.16388,-0.08238,0.03691,-0.0832,-0.18216,-0.45424,-0.43809,-0.59002,-0.62154,-0.57869,-0.40625,-0.42709,-0.21125,-0.25291,-0.51415,-0.4586,-0.1885,-0.1727,0.05596,0.21076,0.4689,0.49942,0.36058
-0.08597,0.33583,0.30989,-0.22824,-0.77457,-1.03414,-1.23582,-0.99821,-0.52575,-0.58991,-0.66789,-0.84064,-1.04338,-1.13977,-1.35147,-1.60622,-1.48109,-1.55257,-1.3686,-1.45145,-0.88601,-0.90057,-0.77486,-0.61651,-0.46367,-0.36829,-0.18484,-0.10939,0.0114,-0.10757,-0.20634,-0.47419,-0.45662,-0.60885,-0.64039,-0.59885,-0.42924,-0.44679,-0.23897,-0.27865,-0.53521,-0.47976,-0.21713,-0.20004,0.02589,0.18119,0.43779,0.4689
-0.44495,-0.43671,-0.0176,0.00846,-0.41114,-0.91794,-1.12297,-1.33016,-1.11195,-0.64036,-0.70795,-0.77313,-0.94674,-1.15068,-1.24507,-1.43356,-1.70629,-1.58791,-1.66105,-1.45968,-1.53503,-0.96786,-0.9824,-0.85156,-0.69014,-0.53599,-0.44141,-0.25079,-0.17358,-0.04185,-0.1618,-0.26318,-0.53195,-0.51826,-0.66971,-0.70031,-0.66127,-0.4893,-0.50937,-0.29894,-0.33901,-0.59087,-0.53357,-0.26941,-0.24762,-0.02258,0.13924,0.39592
-0.71621,-0.91913,-0.86725,-0.49924,-0.3617,-0.68356,-1.11268,-1.26282,-1.47054,-1.2767,-0.83128,-0.8943,-0.95333,-1.12687,-1.30473,-1.39765,-1.56376,-1.80656,-1.69684,-1.74591,-1.55357,-1.61623,-1.09532,-1.10383,-0.98253,-0.83706,-0.68759,-0.59309,-0.3967,-0.31949,-0.1859,-0.29824,-0.39885,-0.65455,-0.64201,-0.78415,-0.81094,-0.77371,-0.6055,-0.62471,-0.41557,-0.45478,-0.69587,-0.63642,-0.37291,-0.34684,-0.12326,0.04193
0.20739,-0.32508,-0.59258,-0.59396,-0.29087,-0.22966,-0.51579,-0.98118,-1.13931,-1.32292,-1.11902,-0.7128,-0.78541,-0.83585,-0.99358,-1.17769,-1.26768,-1.44574,-1.68683,-1.5843,-1.63705,-1.48111,-1.54328,-1.0279,-1.03861,-0.92196,-0.78013,-0.63362,-0.54301,-0.35542,-0.27736,-0.15073,-0.2622,-0.35862,-0.61205,-0.60433,-0.7496,-0.77898,-0.74143,-0.57377,-0.59368,-0.38564,-0.42693,-0.67286,-0.61421,-0.35588,-0.33064,-0.11195
1.37861,1.13555,0.69716,0.45741,0.41518,0.5583,0.48951,0.18795,-0.17504,-0.51804,-0.7428,-0.55729,-0.19059,-0.27316,-0.35232,-0.48395,-0.64171,-0.73031,-0.92268,-1.15889,-1.08473,-1.19514,-1.06663,-1.1738,-0.63518,-0.65507,-0.54291,-0.40056,-0.26105,-0.17912,-0.008,0.05299,0.15653,0.05216,-0.03706,-0.29616,-0.2918,-0.45372,-0.48417,-0.44129,-0.27822,-0.30004,-0.10688,-0.14923,-0.39558,-0.34955,-0.10398,-0.09091
0.62542,1.368,1.17615,0.81585,0.61721,0.58104,0.70496,0.63846,0.34644,0.02088,-0.30947,-0.55815,-0.37784,-0.04231,-0.12317,-0.19734,-0.32823,-0.48007,-0.57022,-0.77478,-1.01519,-0.93917,-1.05878,-0.93593,-1.04942,-0.51722,-0.5429,-0.42786,-0.28495,-0.14708,-0.06464,0.10198,0.16206,0.25343,0.15038,0.05672,-0.20139,-0.20033,-0.36873,-0.3965,-0.35352,-0.19091,-0.21268,-0.02258,-0.06523,-0.31605,-0.27552,-0.03137
0.42368,0.55616,1.23602,1.09776,0.79802,0.63105,0.58636,0.69349,0.65721,0.40266,0.1193,-0.19473,-0.4488,-0.28213,0.04474,-0.04658,-0.12574,-0.2478,-0.39307,-0.48527,-0.69544,-0.93553,-0.86228,-0.9934,-0.86813,-0.98972,-0.4512,-0.48248,-0.36886,-0.22779,-0.0897,-0.01016,0.15663,0.2079,0.30036,0.19401,0.09925,-0.15876,-0.15581,-0.32668,-0.35664,-0.31426,-0.15277,-0.17593,0.00963,-0.03738,-0.29235,-0.25116
