StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
44,4,190110,0.5,53.7,2.26,2.26,-2.19,1.33,0,355,-1.78,-1.22,-0.02,0.79,0.99,0.69,-0.08,40.4,67.1
44,4,190111,2.66,38.2,2.12,2.12,0.26,1.25,0,804,0.08,-1.12,-0.95,0.44,1.3,0.66,-0.02,27.9,48.4
44,4,190112,6.79,31.1,3.59,3.59,5.09,3.59,0,1051,2.45,1.58,0.4,1.06,1.81,1.39,0.61,20.9,41.3
44,4,190201,2.62,29.3,3.26,3.26,0.11,3.25,0,1107,0.03,1.75,1.27,0.75,1.33,1.45,0.62,20.4,38.3
44,4,190202,4.52,26.8,3.87,3.87,2.83,3.87,0,1070,1.45,1.04,2.01,0.63,1.44,1.96,0.64,18.4,35.4
44,4,190203,3.75,44,3.62,3.62,0.45,3.62,0,651,0.45,1.28,1.05,0.88,1.39,1.99,0.72,32.5,55.4
44,4,190204,2.99,50.6,0,3.25,0,3.19,0,432,-0.01,0.21,1,1.37,1.08,1.55,0.83,39.2,62.1
44,4,190205,2.01,64.2,-0.79,2.12,-2.37,1.07,71,96,-1.15,-0.97,-0.6,1.1,0.22,1,0.83,51,77.3
44,4,190206,3.63,69.3,-0.74,1.88,-0.08,0.77,141,12,-0.03,-0.96,-0.89,0.04,0.31,0.78,0.59,56.1,82.5
44,4,190207,2.78,75,-1.23,1.12,-1.69,-0.6,310,0,-0.78,-0.6,-1.19,-0.29,0.58,0.38,0.44,62.9,87.1
44,4,190208,2.18,70.3,-1.8,-1.8,-2.11,-1.8,172,8,-1.01,-1.17,-1.1,-1.29,0.23,-0.33,0.55,58,82.6
44,4,190209,3.4,64.1,-1.69,-1.69,-0.23,-1.69,56,83,0.27,-0.58,-0.91,-1.31,-0.59,-0.19,0.54,51.8,76.3
44,4,190210,5.27,55.3,0.47,-1.05,1.41,-0.28,7,308,0.99,0.79,0.18,-0.67,-0.13,0.51,0.78,43.7,66.9
44,4,190211,3.52,48.9,0.51,-0.85,0.27,0.08,0,483,0.57,1.01,0.82,-0.06,-0.37,0.63,0.83,37.8,60
44,4,190212,4.56,32.4,1.29,1.29,2.51,1.29,0,1011,1.23,1.08,1.35,0.37,-0.09,0.32,1.16,24.1,40.7
44,4,190301,3.99,29.9,1.79,1.79,1.88,1.79,0,1088,0.99,1.4,1.27,0.9,0.17,0.54,1.3,21.4,38.4
44,4,190302,3.92,34.5,2.25,2.25,1.95,2.25,0,854,1.12,1.35,1.61,1.58,0.79,0.47,1.67,23.5,45.5
44,4,190303,4.62,48.5,2.34,2.34,0.97,2.34,6,517,1.02,1.38,1.57,1.77,1.12,0.6,1.79,38,58.9
44,4,190304,4.13,51.2,2.51,2.51,1.22,2.51,0,414,0.72,1.15,1.48,1.61,1.44,0.77,1.55,40,62.5
44,4,190305,3.39,62.9,2.04,2.04,-0.65,1.69,53,118,-0.22,0.26,0.72,1.55,1.6,0.96,1.38,49.6,76.2
44,4,190306,6.52,65.2,3.29,3.29,4.4,3.29,60,54,1.4,0.89,1.06,1.78,1.9,1.51,1.72,55.5,74.8
44,4,190307,3.64,73.6,3,3,0.15,3,267,0,-0.11,1.01,0.61,1.54,1.75,1.61,1.52,61.7,85.5
44,4,190308,4.87,70.4,3.15,3.15,1.37,3.15,175,7,0.64,0.31,1.05,1.26,1.78,1.83,1.23,61.1,79.8
44,4,190309,1.95,64.3,-0.29,2.54,-0.86,2.13,59,80,-0.57,-0.09,-0.22,0.52,1.21,1.51,1.03,51.9,76.7
44,4,190310,3.43,55.1,-0.23,2.3,0.07,1.87,7,313,0.28,-0.34,0,0.36,1.01,1.33,1.24,44,66.2
44,4,190311,0.92,39.5,-0.73,1.54,-1.58,0.43,0,765,-1.35,-0.54,-0.94,0.07,0.4,1.01,1.07,28,51
44,4,190312,1.25,28.8,-1.16,0.88,-1.51,-0.79,0,1122,-1.33,-1.83,-1.11,-0.99,-0.14,0.55,0.57,18.9,38.8
44,4,190401,1.88,24.7,-1.32,-1.32,-0.84,-1.32,0,1249,-0.69,-1.41,-2.05,-1.17,-0.55,0.19,0.47,15.1,34.3
44,4,190402,1.27,26.2,-1.64,-1.64,-1.35,-1.64,0,1086,-0.93,-1.33,-2.06,-1.75,-0.76,-0.27,0.07,16.1,36.2
44,4,190403,2.07,41.7,-1.91,-1.91,-1.34,-1.91,0,722,-0.86,-1.43,-1.88,-2.16,-1.62,-0.77,-0.14,31.1,52.3
44,4,190404,2.68,48.1,-1.73,-1.73,-0.04,-1.68,0,507,-0.24,-0.9,-1.35,-3.09,-1.68,-1.1,-0.2,36.6,59.5
44,4,190405,3.14,62.6,-1.85,-1.85,-0.88,-1.85,49,123,-0.37,-0.54,-0.97,-1.82,-1.97,-1.1,-0.13,49.4,75.8
44,4,190406,7.26,69.4,1.57,1.57,4.7,1.57,143,11,1.69,1.09,0.74,-0.31,-0.93,-0.98,0.3,58.3,80.5
44,4,190407,4.68,72.3,1.9,1.9,1.47,1.9,229,0,0.6,1.63,1.17,0.12,-0.84,-0.8,0.6,61.2,83.4
44,4,190408,2.68,70.6,-0.2,1.5,-0.61,1.14,180,7,-0.59,-0.14,0.93,0.09,-0.69,-1.18,0.71,59.6,81.6
44,4,190409,2.52,66.2,-0.4,1.12,-0.67,0.39,88,52,-0.18,-0.75,-0.41,0.17,-0.53,-1.04,0.6,54.1,78.4
44,4,190410,1.63,53,-0.88,-0.88,-1.54,-0.88,0,372,-0.71,-0.91,-1.23,-0.05,-0.67,-1.42,0.16,39,67
44,4,190411,1.37,40.6,-1.41,-1.41,-1.88,-1.41,0,732,-0.89,-1.21,-1.23,-0.21,-0.7,-1.32,-0.12,29.8,51.4
44,4,190412,2.72,28.7,-1.42,-1.42,-0.46,-1.42,0,1125,-0.02,-0.69,-1.06,-1.11,-0.43,-1.08,-0.31,19.4,38.1
44,4,190501,3.05,26.9,-1.05,-1.05,0.67,-0.61,0,1181,0.37,0.13,-0.41,-1.25,-0.29,-0.85,-0.44,17.8,36
44,4,190502,2.21,24.1,-0.99,-0.99,-0.14,-0.55,0,1145,-0.04,0.16,0.07,-0.99,-0.23,-0.64,-0.69,15.5,32.8
44,4,190503,2.39,44,-1.29,-1.29,-1.2,-1.29,0,651,-0.58,-0.49,-0.25,-1.04,-1.16,-0.56,-0.97,32.7,55.3
44,4,190504,2.38,52.7,-1.48,-1.48,-0.97,-1.48,0,369,-0.48,-0.88,-0.82,-0.82,-1.52,-0.64,-1.18,39.6,65.8
44,4,190505,3.11,64.2,-1.71,-1.71,-1.15,-1.71,71,96,-0.39,-0.71,-0.98,-0.68,-1.33,-0.66,-1.21,51.7,76.7
44,4,190506,6.65,70.3,1.26,1.26,3.79,1.26,167,8,1.45,0.83,0.41,0.12,-0.52,-0.81,-1.22,59.1,81.6
44,4,190507,6.3,73.8,2.16,2.16,3.08,2.16,273,0,1.57,1.95,1.53,0.67,0.27,-0.5,-0.98,63.7,84
44,4,190508,4.77,71.5,2.44,2.44,1.52,2.44,206,0,0.59,1.23,1.82,0.88,0.68,-0.06,-1,61,82
44,4,190509,2.07,66,1.99,1.99,-0.6,1.67,85,55,-0.48,-0.08,0.59,0.69,0.45,-0.05,-0.91,53.6,78.5
44,4,190510,2.95,54.8,1.74,1.74,-0.15,1.29,6,322,0.06,-0.49,-0.15,0.78,0.33,0.11,-0.9,41.7,68
44,4,190511,0.81,41.7,1.02,1.02,-1.61,-0.16,0,699,-1.48,-0.82,-1.11,0.57,0.01,-0.03,-0.91,29.7,53.7
44,4,190512,4.5,34.3,1.69,1.69,2.32,1.42,0,952,1.2,-0.08,-0.13,0.29,0.5,0.31,-0.51,24.6,44
44,4,190601,2.55,37.4,1.42,1.42,-0.29,0.97,0,856,-0.03,0.75,-0.11,-0.33,0.61,0.21,-0.42,28.6,46.1
44,4,190602,1.36,32.9,0.85,0.85,-1.27,-0.15,0,899,-0.83,-0.69,0.25,-0.8,0.55,0.1,-0.43,20.9,44.8
44,4,190603,4.83,35.4,1.63,1.63,2.62,1.61,0,918,1.15,0.39,0.25,0.03,0.31,0.51,-0.09,27.3,43.5
