Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
32,Lilly Dickey Woods,136.78,114.35,114.78,123.07,117.79,112.43,134.96,112.57,131.13,116.8,125.93,115.49,109.14,116.26,123.64,123.47,127.39,118.53,124.65,125.02,119.03,131.94,133.63,134.78,140.22,119.13,128.93,127.46,139.62,121.39,125.75,134.86,134.59,129.44,121.79,118.82,109.69,117.37,131.89,139.43,129.5,121.21,136.95,126.58,120.33,133.04,120.98,125.02,118.23,119.65,126.1,119.67,131.45,130.65,118.34,135.05,118.94,140.45,133.08,116.23,137.99,120.79
33,Santa Cruz,43.69,45.96,37.13,40.78,42.41,35.73,45.58,45.05,29.69,44.29,38.74,41.08,45.56,45.04,42.33,37.31,44.49,39.11,44.09,45.59,39.9,38.25,46.44,43.52,40.02,34.66,36.17,44.84,42.23,36.77,43.07,48.77,54.85,37.03,32.91,36.98,40.56,34.04,31.5,32.75,39.29,36.76,44.17,39.09,46.16,52.19,40.77,52.25,41.13,46.26,48.54,39.77,45.93,43.22,47.16,46.6,39.6,38.44,37.23,52.67,33.72,49.11
34,SCBI,135.1,143.22,135.88,120.57,118.01,129.08,128.44,137.1,131.37,131.95,135.34,122.99,118.53,122.8,114.97,128.02,123.53,127.32,130.77,131.64,136.33,148.25,132.84,126.58,144.93,124.41,123.81,128.66,145.24,118.82,116.35,131.54,148.25,132.56,120.77,120.69,125.95,120.62,145.7,137.88,118.47,128.97,136.01,129.76,132.41,145.86,124.92,133.18,134.76,138.68,133.54,124.62,159.65,154.44,131.91,123.73,120.9,142.38,154.15,118.34,140.31,136.63
35,SERC,122.09,132.42,127.6,108.82,107.51,116.99,114.59,125.77,118.04,121.67,121.61,110.23,108.5,107,99.12,113.44,110.32,113.89,116.43,117,123.79,133.34,114.89,111.71,129.79,111.63,109.62,115.18,129.51,105.67,103.78,116.3,134.69,119.98,108.6,106.99,115.49,107.69,131.94,120.36,104.72,114.96,122.03,116.31,116.84,127.88,111.12,117.49,121.21,126.71,118.63,110.45,141.48,137.89,115.97,106.13,108.36,128.9,140.24,105.94,124.2,123.74
36,Tyson Research Center,113.66,97.72,87.43,98.57,101.37,103.94,119.67,107.14,103.11,103.49,118.94,107.58,93.93,104.39,102.62,103.45,115.5,103.22,117.89,105.12,101.96,104.21,119.14,114.36,116.86,89.16,118.31,112.07,103.59,95.89,116.69,131.41,119.31,127.54,125.31,102.55,112.3,106.94,100.42,122.12,107.39,108.07,131.11,113.05,118.18,110.25,113.32,124.53,104.86,111.69,117.05,111.7,129.44,120.87,121.72,112.07,116.48,138.95,120.13,121.95,128.57,110.95
37,Wabikon Lake Forest,143.53,127.85,134.15,148.55,143.85,128.63,139.03,125.07,140.66,129.8,132.03,119.34,113.1,119.31,150.92,132.71,137.17,139.87,134.54,147.75,135.58,142.19,132.56,147.97,133.81,123.89,138.48,126.94,136.85,133.37,129.79,148.68,144.42,137.78,146.74,136.79,123.25,137.96,129.39,135.31,138.46,127.44,133.56,125.37,138.92,131.13,108.4,117.92,120.55,117.82,127.99,109.3,108.25,131.9,139.77,136.05,136.64,153.82,118.58,115.73,129.33,126.75
38,Wind River,126.49,105.86,142.27,136.68,137.23,122.6,123.3,130.12,130.22,130.38,137.9,126.61,136.56,132.57,116.65,129.95,118.67,148.11,127.59,136.27,130.77,126.48,123.56,124.52,135.53,106.17,121.73,119.05,122.7,129.24,129,131.89,139.16,124.22,99.6,120.16,109.53,114.75,110.55,117.12,117.46,108.34,112.58,114.85,142.98,151.09,145.95,151.71,157.31,137.16,132.32,123.01,133.44,138.35,118.98,142.62,127.99,137.11,121.14,143.98,133.98,143.98
39,Yosemite National Park,45.89,47.95,34.73,37.97,44.4,34.67,48.17,50.2,34.45,45.19,41.03,39.55,48.84,47.01,46.27,35.3,45.13,42.69,46.78,45.72,42.36,39.51,47.93,43.37,46.31,42.62,39.74,49.8,47.7,43.33,44.59,48.69,60.74,49.18,41.11,38.56,44.1,38.19,34.16,38.47,45.74,37.01,45.38,43.44,45.9,48.03,37.47,52.88,35.66,48,42.53,37.27,41.93,36.2,54.97,43.18,46.91,41.01,39.88,53.83,39.45,40.6
40,Ilha do Cardoso,200.93,209.13,219.94,222.79,222.17,216.86,261.24,229.2,208.23,231.6,223.01,208.61,197.69,217.28,241.19,224.6,214.1,203.27,228.04,238.43,221.02,237.36,231.15,212.42,220.3,248.75,221.01,206.53,218.38,231.67,198.68,227.88,251.03,227.94,181.84,225.19,224.79,217.06,230.6,248.14,225,227.75,236.79,210.18,255.38,243.02,219.03,246.19,237.57,228.19,239.83,226.6,202.6,234.03,213.65,202.46,198.82,232.28,257.08,239.79,234.21,225.47
41,Manaus,260.86,263.9,259.5,247.85,250.84,251.24,223.5,236.84,232.01,262.96,251.4,248.93,249.48,250.77,225.85,262.9,230.36,264.75,244.68,258.28,256.52,238.92,262.18,255.99,257.11,241.28,243.05,244.96,244.35,243.01,267.91,242.19,233.46,259.38,261.2,261.76,233.01,268.4,283.43,267.42,256.04,238.3,268.94,278.4,247.42,253.89,219.04,248.6,253.27,259.89,243.88,251.85,238.19,235.52,235.79,241.33,246.41,268.76,212.03,233.52,249.85,226.22
