Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
31,Harvard Forest,12.825,12.975,13.542,12.325,12.275,12.658,13.942,11.958,12.583,13.158,13.483,13.525,14.525,14.175,13.375,13.658,12.383,12.883,12.083,12.792,12.842,11.758,11.617,12.033,11.408,13.25,12.775,13.258,12.075,13.358,13.167,13.617,12.917,12.95,12.842,12.8,13.5,12.933,12.958,12.9,13.442,12.917,13.6,13.35,12.775,12.075,12.275,12.233,13.025,12.583,13.375,12.708,12.342,12.275,12.758,12.383,12.85,12.633,12.3,12.658,12.35,12.408
32,Lilly Dickey Woods,12.417,12.533,13.217,12.792,13.05,12.317,12.017,12.242,12.542,12.358,12.55,12.55,13.7,13.3,12.483,12.317,12.342,11.742,11.758,12.35,12.442,11.642,11.592,11.933,11.908,13.533,12.242,12.292,12.083,12.042,11.742,11.742,11.467,11.35,11.817,11.583,12.3,13.108,11.658,12.075,11.558,11.308,10.983,11.7,11.7,11.15,11,10.725,11.858,11.125,11.233,11.158,10.95,10.825,11.033,10.85,11.475,11.258,10.675,11.35,10.783,11.833
33,Santa Cruz,8.9083,9.275,10.008,10.033,9.8083,9.9583,9.0667,9.65,10.733,9.4417,10.05,9.6,9.5083,10.258,9.3833,9.95,9.5083,9.9833,9.2833,9.6667,9.9833,9.3583,9.2,9.325,9.7417,10.825,9.9833,9.4583,9.3083,9.6417,9.7417,9.1333,8.55,10.292,9.7583,8.9417,8.95,9.775,9.55,9.3917,8.7667,8.525,8.7917,8.775,8.2667,8.5917,8.825,8.175,8.825,8.45,8.8333,8.6583,8.3583,8.4917,8.4083,8.6833,8.775,8.9333,8.8167,8.1333,8.6,8.7167
34,SCBI,14.242,13.742,14.858,14.55,14.1,13.65,13.483,13.142,14.767,14.525,13.017,12.8,14.717,14.317,14.283,13.892,13.883,14.25,13.408,13.608,13.242,12.742,12.917,13.417,12.85,14.075,13.375,13.042,12.342,13.317,13.383,13.308,13.142,12.908,13.617,14.308,13.725,14.642,13.325,14.308,14.275,12.217,13.667,13.642,12.508,12.158,13.083,12.775,13.225,12.6,13.283,13.1,12.058,12.292,12.575,12.992,13.083,12.892,12.333,12.942,12.642,13.15
35,SERC,11.15,10.417,11.025,11.158,10.217,10.283,10.508,9.7833,11.15,10.833,10.808,10.217,11.292,11.017,10.925,10.575,10.567,10.758,9.6833,10.375,10.483,9.9,9.8667,10.233,10.075,11.033,10.617,10.583,10.367,10.667,10.408,10.525,10.433,10.308,10.775,10.558,10.767,11,9.9333,10.842,10.85,9.925,10.442,10.742,10.142,9.625,11.208,10.633,10.592,10.358,11.158,10.892,9.7167,9.8833,10.292,10.858,10.7,10.667,9.9917,10.433,10.467,10.567
36,Tyson Research Center,11.15,12.3,12.792,12.325,12.425,12.367,11.092,10.833,11.133,10.908,11.533,11.408,12.492,12,11.508,11.592,10.825,11.042,10.975,11.25,11.733,10.958,10.35,10.917,10.575,12.358,10.575,10.367,11.642,11.667,11.542,11.408,10.958,11.15,10.958,11.35,11.625,13.392,12.258,12.075,11.575,11.383,10.517,11.458,11.133,11.358,11.542,11.058,12.25,11.825,11.808,11.758,11.642,11.392,11.817,12.308,11.925,11.792,11.375,11.808,11.775,12.842
37,Wabikon Lake Forest,11.15,12.092,11.75,11.792,13.283,13.117,13.225,13.267,12.9,12.8,13.192,12.55,13.742,13.4,12.317,12.783,13.342,12.658,13.258,13.383,13.092,13.125,11.975,12.983,13.117,14.425,12.842,13.375,12.142,12.875,12.925,12.675,12.042,12.858,12.925,13.175,12.842,13.725,14.083,13.525,12.833,12.283,12.408,12.767,11.825,12.267,12.142,11.917,12.467,12.625,12.142,12.258,13.1,12.792,12.917,12.625,12.308,12,12.167,12.242,11.55,12.333
38,Wind River,12.742,12.692,11.625,11.45,10.833,11.617,11.833,11.875,11.408,11.675,11.792,11.75,11.05,11.292,11.9,11.567,11.767,11.108,11.225,11.608,11.45,11.917,11.2,11.792,10.758,11.833,11.458,11.183,11.242,10.742,11.175,11.292,10.5,10.683,11.55,11.125,12.35,11.908,11.433,11.508,11.45,11.933,11.383,11.908,11.192,11.858,10.233,10.342,10.575,10.475,10.858,10.992,10.708,10.367,10.783,10.942,10.508,10.642,10.958,10.008,10.383,10.708
39,Yosemite National Park,18.35,17.267,17.975,18.067,18.192,18.058,17.092,17.342,19.325,18.392,17.533,18.325,17.583,18.217,17.475,18.267,17.15,17.817,17.25,17.942,17.817,17.633,16.942,17.825,17.45,19.892,19,16.808,17.892,17.633,17.858,16.725,16.692,18.108,17.808,17.858,17.6,18.108,18.308,18.358,17.725,17.55,17.183,17.383,16.208,16.258,16.333,15.042,17.217,16.9,17.175,16.817,15.883,15.658,15.067,15.9,16.65,16.133,16.267,15.4,16.1,16.608
40,Ilha do Cardoso,8.8833,8.8917,9.0833,9,8.7,7.75,7.9917,8.05,8.0167,8.0667,8.025,7.9083,8.0417,7.8333,7.9833,7.9583,7.95,8.3833,7.9333,7.925,8.0833,8.1167,7.5083,8.425,8.9167,8.375,7.9583,8.325,8.3667,8.8,8.8333,8.1333,7.825,7.7417,8.0083,7.8,8.1,7.6083,7.7167,7.4667,7.9333,8.175,8.7917,8.1917,8.0917,7.5083,8.0333,8.0083,8.0583,8.0333,8.0167,8.025,8.0333,8.0583,8.0333,8.0667,8.0167,8.0583,8.0167,8.0083,8.0167,8.0083
