"Description: ","Dates where precipitation > 200 mm or abs(temperature) > 50 degrees."
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,Prec,TX,TN
2018-6-3,NA,19.42802,-51.5948
2018-6-4,NA,23.99693,-70.57388
2018-6-5,NA,24.43054,-67.57588
2018-6-6,NA,19.97084,-69.41228
2018-6-7,NA,19.47718,-69.91789
2018-6-8,NA,26.21133,-69.36113
2018-6-9,NA,26.17342,-68.55244
2018-6-10,NA,17.23226,-57.13076
2018-6-11,NA,-2.714429,-59.17008
2018-6-12,NA,21.0503,-63.42652
2018-6-13,NA,27.6253,-70.75248
2018-6-14,NA,20.43028,-70.32142
2018-6-15,NA,20.66406,-70.196
2018-6-16,NA,25.44275,-70.05535
2018-6-17,NA,26.81104,-67.19604
2018-6-18,NA,29.7977,-69.48896
2018-6-19,NA,25.46121,-69.73819
2018-6-20,NA,22.93825,-70.06222
2018-6-21,NA,25.00133,-62.92617
2018-6-22,NA,-44.80845,-66.47643
2018-6-23,NA,24.85918,-66.94341
2018-6-24,NA,19.50616,-67.48989
2018-6-25,NA,-49.87956,-70.20125
2018-6-26,NA,24.6459,-69.99552
2018-6-27,NA,19.7381,-69.10029
2018-6-28,NA,24.73946,-70.13139
2018-6-29,NA,29.01581,-66.22373
2018-6-30,NA,20.01225,-69.48753
2018-7-1,NA,-7.212825,-69.6103
2018-7-2,NA,-34.99887,-67.27726
2018-7-3,NA,-23.78419,-67.52467
2018-7-4,NA,-32.97932,-67.9958
2018-7-5,NA,29.85948,-68.27187
2018-7-6,NA,-37.3141,-67.0558
2018-7-7,NA,17.66842,-69.82584
2018-7-8,NA,24.55145,-69.75657
2018-7-9,NA,25.96376,-69.40747
2018-7-10,NA,23.81719,-70.15556
2018-7-11,NA,17.95428,-70.18752
2018-7-12,NA,22.67374,-67.3284
2018-7-13,NA,20.85608,-59.05901
2018-7-14,NA,26.6904,-61.33191
2018-7-15,NA,26.25408,-64.00377
2018-7-16,NA,22.73275,-69.11665
2018-7-17,NA,22.73525,-69.16863
2018-7-18,NA,17.64443,-71.21989
2018-7-19,NA,21.53692,-69.52384
2018-7-20,NA,23.88415,-65.99635
2018-7-21,NA,23.72048,-66.69461
2018-7-22,NA,20.66763,-56.49332
2018-7-23,NA,-18.28257,-70.63892
2018-7-24,NA,23.33466,-69.6449
2018-7-25,NA,25.43289,-66.52608
2018-7-26,NA,29.03012,-67.91527
2018-7-27,NA,24.40679,-68.80927
2018-7-28,NA,-15.6738,-69.46408
2018-7-29,NA,-60.4283,-70.1759
2018-7-30,NA,-55.74266,-69.12471
2018-7-31,NA,-40.52488,-63.59804
2018-8-1,NA,7.865558,-67.30889
2018-8-2,NA,7.023515,-61.14042
2018-8-3,NA,-29.12482,-53.10853
2018-8-4,NA,28.80824,-67.53898
2018-8-5,NA,28.57478,-68.52093
2018-8-6,NA,-35.9194,-68.65076
2018-8-7,NA,-0.7100477,-68.67942
2018-8-8,NA,-38.70122,-68.55878
2018-8-9,NA,-43.22007,-69.38626
2018-8-10,NA,-12.22698,-69.16706
2018-8-11,NA,-49.20421,-69.78679
2018-8-12,NA,-36.14721,-61.48304
2018-8-13,NA,24.67236,-70.45945
2018-8-14,NA,-20.74525,-67.54583
2018-8-15,NA,-27.69351,-57.06694
2018-8-16,NA,-26.67271,-56.9145
2018-8-17,NA,-25.98772,-67.49649
2018-8-18,NA,-46.51704,-67.61112
2018-8-19,NA,-50.49641,-66.21934
2018-8-20,NA,-50.60894,-59.57543
2018-8-21,NA,27.17338,-65.42451
2018-8-22,NA,16.63733,-67.70277
2018-8-23,NA,23.81168,-67.23293
2018-8-24,NA,9.886025,-66.10694
2018-8-25,NA,-30.28739,-68.79951
2018-8-26,NA,-21.31342,-69.13081
2018-8-27,NA,-19.74698,-68.12645
2018-8-28,NA,-13.27902,-69.70767
