Year,Month,Precipitation (mm),Precipitation Source,Temperature (¡C),Temperature Source
2006,1,42.5,ACP,24.8,PNM
2006,2,0,PNM,26.3,PNM
2006,3,46.1,ACP,26.1,PNM
2006,4,131.6,PNM,25.3,PNM
2006,5,147.8,PNM,23.9,PNM
2006,6,170,ACP,24.4,PNM
2006,7,311.8,ACP,24.6,PNM
2006,8,259.5,ACP,24.4,PNM
2006,9,114.9,ACP,24.4,PNM
2006,10,206.1,ACP,24.3,PNM
2006,11,195.1,ACP,24.4,PNM
2006,12,219.6,ACP,25.7,PNM
2007,1,8.1,PNM,27,PNM
2007,2,0,PNM,26.1,PNM
2007,3,8.8,ACP,28.8,ACP
2007,4,137.8,PNM,26,PNM
2007,5,264.4,PNM,24.6,PNM
2007,6,148.7,PNM,25.2,PNM
2007,7,112.9,PNM,24.9,PNM
2007,8,40.5,PNM,24.6,PNM
2007,9,136.8,ACP,25,PNM
2007,10,240.3,ACP,24.8,PNM
2007,11,257.2,ACP,23.9,PNM
2007,12,184.3,ACP,24.6,PNM
2008,1,19.8,ACP,26,PNM
2008,2,21.8,ACP,26,PNM
2008,3,5.9,ACP,26.5,PNM
2008,4,3.1,PNM,27.1,PNM
2008,5,76.1,PNM,26,PNM
2008,6,237.9,PNM,24.5,PNM
2008,7,240.8,PNM,23.8,PNM
2008,8,365,PNM,24.2,PNM
2008,9,141,PNM,25.9,PNM
2008,10,291.9,PNM,25.3,PNM
2008,11,534.3,PNM,23.8,PNM
2008,12,43.1,PNM,25.8,PNM
2009,1,7.6,PNM,26.1,PNM
2009,2,10.7,PNM,26.4,PNM
2009,3,36.8,PNM,26.6,PNM
2009,4,41.9,PNM,27.3,PNM
2009,5,193.1,PNM,26.2,PNM
2009,6,222.4,PNM,25.9,PNM
2009,7,323.2,PNM,25.7,PNM
2009,8,204.6,PNM,25.3,PNM
2009,9,220.8,PNM,26,PNM
2009,10,326,PNM,25.6,PNM
2009,11,251.4,PNM,25,PNM
2009,12,57.6,PNM,26.6,PNM
2010,1,25.7,PNM,26.4,PNM
2010,2,6.8,PNM,26.7,PNM
2010,3,67.6,PNM,27,PNM
2010,4,67.8,PNM,27,PNM
2010,5,220.1,PNM,27.1,PNM
2010,6,389.2,PNM,25.8,PNM
2010,7,322.6,PNM,25.5,PNM
2010,8,275.9,PNM,25.6,PNM
2010,9,185.2,PNM,25.4,PNM
2010,10,303.1,PNM,24.9,PNM
2010,11,209.5,PNM,24.4,PNM
2010,12,312.1,PNM,23.9,PNM
2011,1,101.5,PNM,25.2,PNM
2011,2,102.1,PNM,25.7,PNM
2011,3,51.8,PNM,25.6,PNM
2011,4,177.2,PNM,25.7,PNM
2011,5,300.3,PNM,26.1,PNM
2011,6,117.9,PNM,25.7,PNM
2011,7,375.2,PNM,25.3,PNM
2011,8,272.2,PNM,25.6,PNM
2011,9,171,PNM,25.3,PNM
2011,10,433.3,PNM,24.7,PNM
2011,11,377.8,PNM,24.4,PNM
2011,12,182.1,PNM,24.8,PNM
2012,1,0.3,PNM,25.7,PNM
2012,2,2.5,PNM,25.7,PNM
2012,3,17.3,PNM,27,PNM
2012,4,54.2,PNM,26.6,PNM
2012,5,222.6,PNM,26.5,PNM
2012,6,172.7,PNM,26.5,PNM
2012,7,110.2,PNM,26.1,PNM
2012,8,111.4,PNM,26,PNM
2012,9,258.6,PNM,25.9,PNM
2012,10,323.8,PNM,25.6,PNM
2012,11,376.5,PNM,25.4,PNM
2012,12,285,PNM,25.9,PNM
2013,1,0,PNM,26.7,PNM
2013,2,0.8,PNM,26.7,PNM
2013,3,1,PNM,27.2,PNM
2013,4,12.7,PNM,27.6,PNM
2013,5,252,PNM,26.7,PNM
2013,6,171.2,PNM,26.4,PNM
2013,7,133.7,PNM,26.2,PNM
2013,8,358.4,PNM,26,PNM
2013,9,273.3,PNM,26.1,PNM
2013,10,268.5,PNM,25.8,PNM
2013,11,170.8,PNM,25.9,PNM
2013,12,158.4,PNM,26.3,PNM
2014,1,63.5,PNM,26.5,PNM
2014,2,6.1,PNM,26.8,PNM
2014,3,7.6,PNM,27.1,PNM
2014,4,19.5,PNM,27.7,PNM
2014,5,402,PNM,26.8,PNM
2014,6,143.8,PNM,27.1,PNM
2014,7,179.2,PNM,27.6,PNM
2014,8,164.2,PNM,26.8,PNM
2014,9,203.8,PNM,26.6,PNM
2014,10,213.4,PNM,26.7,PNM
2014,11,230.2,PNM,26.4,PNM
2014,12,189.3,PNM,26.6,PNM
