Date,Harvard_Forest,Huai_Kha_Khaeng,Lilly_Dickey_Woods,Scotty_Creek,Smithsonian_Conservation_Biology_Institute,Utah_Forest_Dynamics_Plot,Zofin,BCI
12/16/1908,-1.476772963,1.087704337,-2.078372033,-0.28514676,0.028650677,1.110782015,-1.432166423,
1/16/1909,-1.458599089,0.88573957,-1.900708448,-0.357328451,-0.380461169,1.164469547,-1.514811283,
2/15/1909,-1.499859226,0.495382158,-1.156213901,-0.117428142,-0.716191083,1.590274206,-1.172194411,
3/16/1909,-0.912680404,0.322132608,-0.887270087,0.778897451,-0.726628021,1.303722224,-1.31903046,
4/16/1909,-0.295028464,-0.47035485,0.037594179,0.419739093,-0.584700776,0.928130305,-0.955449547,
5/16/1909,0.161455209,-0.542395563,0.564999931,-0.321642391,-0.176119226,0.839343574,-0.500907448,
6/16/1909,0.07266261,-0.863327126,1.131838539,-0.299158189,0.777265522,0.338798018,0.025730337,
7/16/1909,-0.498520234,-0.552333045,1.435857028,-0.23156329,0.063845094,0.276074371,0.966303103,
8/16/1909,-1.058490877,0.117672877,0.343004797,0.439636119,-0.369016571,1.352391102,0.382984598,
9/16/1909,-0.710990776,0.104434404,0.526775531,-0.130641105,-0.34923643,1.7983482,0.921179313,
10/16/1909,-1.385717928,0.370335904,0.536569055,0.061071234,-0.601536418,1.193294594,1.025572291,
11/16/1909,-1.543369119,0.785298006,0.316679072,-0.109271648,-1.123722303,1.619330801,0.817510647,
12/16/1909,-1.400016038,1.155788029,0.18882,0.073066553,-1.772557106,1.897931775,1.086909761,
1/16/1910,-0.633306038,1.187680768,-0.020192079,-0.136643906,-0.886748123,1.914589324,0.720840751,
2/15/1910,-0.154814272,0.873399412,0.691579525,-1.52266897,-0.577581695,0.785754612,0.587697615,
3/16/1910,-1.117802503,1.185211168,-0.252619128,-1.535736094,-1.103356848,0.117817771,-0.284875506,
4/16/1910,-0.733953693,1.986362261,-0.786048376,-1.780687173,-0.223322828,0.391788511,0.352888614,
5/16/1910,-0.751902955,1.209883067,-0.878226234,-1.960456115,-0.104299769,-0.517000407,1.721824981,
6/16/1910,-0.642223353,1.375784793,-1.272045261,-0.134669942,0.660958083,-0.935278859,2.007101406,
7/16/1910,-1.457542245,1.014784663,-0.532551708,0.963393564,0.747695591,-0.780439537,1.938265923,
8/16/1910,-1.83652604,1.426434644,-1.245569553,0.48076245,0.248566616,-0.52434179,2.103664379,
9/16/1910,-1.463378993,1.410824638,-0.249339492,0.655855333,0.343155493,0.489199281,2.198353393,
10/16/1910,-1.753414105,1.010263081,0.768672164,0.850335599,0.087772102,1.212533448,2.005774953,
