"year","sites.sitename","emission_units","emission_type","value"
"1923","New_Mexico","kg m-2 s-1","SO2",6.10396162172568e-10
"1924","New_Mexico","kg m-2 s-1","SO2",5.378996062132e-10
"1925","New_Mexico","kg m-2 s-1","SO2",5.32878304813571e-10
"1926","New_Mexico","kg m-2 s-1","SO2",5.96791060405676e-10
"1927","New_Mexico","kg m-2 s-1","SO2",5.88968681653413e-10
"1928","New_Mexico","kg m-2 s-1","SO2",5.9781769131236e-10
"1929","New_Mexico","kg m-2 s-1","SO2",6.53850003800569e-10
"1930","New_Mexico","kg m-2 s-1","SO2",5.7888508159892e-10
"1931","New_Mexico","kg m-2 s-1","SO2",4.74134336101632e-10
"1932","New_Mexico","kg m-2 s-1","SO2",3.77235730067579e-10
"1933","New_Mexico","kg m-2 s-1","SO2",4.13691057530303e-10
"1934","New_Mexico","kg m-2 s-1","SO2",4.54460037795258e-10
"1935","New_Mexico","kg m-2 s-1","SO2",4.84358186647569e-10
"1936","New_Mexico","kg m-2 s-1","SO2",5.63717335424237e-10
"1937","New_Mexico","kg m-2 s-1","SO2",5.8539334058464e-10
"1938","New_Mexico","kg m-2 s-1","SO2",4.61252929805729e-10
"1939","New_Mexico","kg m-2 s-1","SO2",5.21006570395802e-10
"1940","New_Mexico","kg m-2 s-1","SO2",5.88690576434608e-10
"1941","New_Mexico","kg m-2 s-1","SO2",6.35306530464974e-10
"1942","New_Mexico","kg m-2 s-1","SO2",6.62537042755469e-10
"1943","New_Mexico","kg m-2 s-1","SO2",6.46703456041851e-10
"1944","New_Mexico","kg m-2 s-1","SO2",6.41225309027671e-10
"1945","New_Mexico","kg m-2 s-1","SO2",5.76836178130903e-10
"1946","New_Mexico","kg m-2 s-1","SO2",5.32782550426519e-10
"1947","New_Mexico","kg m-2 s-1","SO2",6.08646302442287e-10
"1948","New_Mexico","kg m-2 s-1","SO2",6.13841118099435e-10
"1949","New_Mexico","kg m-2 s-1","SO2",4.26906276185268e-10
"1950","New_Mexico","kg m-2 s-1","SO2",4.54909837804576e-10
"1951","New_Mexico","kg m-2 s-1","SO2",4.65915105697385e-10
"1952","New_Mexico","kg m-2 s-1","SO2",4.43626384308688e-10
"1953","New_Mexico","kg m-2 s-1","SO2",4.4977721965308e-10
"1954","New_Mexico","kg m-2 s-1","SO2",4.10536788747896e-10
"1955","New_Mexico","kg m-2 s-1","SO2",4.49190036298704e-10
"1956","New_Mexico","kg m-2 s-1","SO2",4.66668344216442e-10
"1957","New_Mexico","kg m-2 s-1","SO2",4.53152082731964e-10
"1958","New_Mexico","kg m-2 s-1","SO2",4.30131151555539e-10
"1959","New_Mexico","kg m-2 s-1","SO2",4.07675784267831e-10
"1960","New_Mexico","kg m-2 s-1","SO2",4.28966558106057e-10
"1961","New_Mexico","kg m-2 s-1","SO2",4.46113091712403e-10
"1962","New_Mexico","kg m-2 s-1","SO2",4.55475959876148e-10
"1963","New_Mexico","kg m-2 s-1","SO2",4.59612728925069e-10
"1964","New_Mexico","kg m-2 s-1","SO2",4.6708159869279e-10
"1965","New_Mexico","kg m-2 s-1","SO2",4.79670849528712e-10
"1966","New_Mexico","kg m-2 s-1","SO2",4.91922721070211e-10
"1967","New_Mexico","kg m-2 s-1","SO2",4.48404563967944e-10
"1968","New_Mexico","kg m-2 s-1","SO2",4.71014570228856e-10
"1969","New_Mexico","kg m-2 s-1","SO2",4.91201111171369e-10
"1970","New_Mexico","kg m-2 s-1","SO2",4.4774919581318e-10
"1971","New_Mexico","kg m-2 s-1","SO2",4.00167519793945e-10
"1972","New_Mexico","kg m-2 s-1","SO2",4.15055396126084e-10
"1973","New_Mexico","kg m-2 s-1","SO2",3.94445482027917e-10
"1974","New_Mexico","kg m-2 s-1","SO2",3.41091037982548e-10
"1975","New_Mexico","kg m-2 s-1","SO2",2.73243986600524e-10
"1976","New_Mexico","kg m-2 s-1","SO2",2.67172575811039e-10
"1977","New_Mexico","kg m-2 s-1","SO2",2.80192999918961e-10
"1978","New_Mexico","kg m-2 s-1","SO2",2.56207670828795e-10
"1979","New_Mexico","kg m-2 s-1","SO2",2.57361509070652e-10
"1980","New_Mexico","kg m-2 s-1","SO2",2.08419102262032e-10
"1981","New_Mexico","kg m-2 s-1","SO2",2.21610310885499e-10
"1982","New_Mexico","kg m-2 s-1","SO2",1.96213893494546e-10
"1983","New_Mexico","kg m-2 s-1","SO2",1.85918698866099e-10
"1984","New_Mexico","kg m-2 s-1","SO2",1.95113587477458e-10
"1985","New_Mexico","kg m-2 s-1","SO2",1.77651505214437e-10
"1986","New_Mexico","kg m-2 s-1","SO2",1.89224148638501e-10
"1987","New_Mexico","kg m-2 s-1","SO2",1.91085094551927e-10
"1988","New_Mexico","kg m-2 s-1","SO2",1.91495119511876e-10
"1989","New_Mexico","kg m-2 s-1","SO2",1.75728244645621e-10
"1990","New_Mexico","kg m-2 s-1","SO2",1.7234671835834e-10
"1991","New_Mexico","kg m-2 s-1","SO2",1.61566845839622e-10
"1992","New_Mexico","kg m-2 s-1","SO2",1.63183255536686e-10
"1993","New_Mexico","kg m-2 s-1","SO2",1.60828506071066e-10
"1994","New_Mexico","kg m-2 s-1","SO2",1.5667686305244e-10
"1995","New_Mexico","kg m-2 s-1","SO2",1.33915788804199e-10
"1996","New_Mexico","kg m-2 s-1","SO2",1.11396287119235e-10
"1997","New_Mexico","kg m-2 s-1","SO2",1.08715263083103e-10
"1998","New_Mexico","kg m-2 s-1","SO2",1.04519504555705e-10
"1999","New_Mexico","kg m-2 s-1","SO2",9.66073174284372e-11
"2000","New_Mexico","kg m-2 s-1","SO2",9.70362651315322e-11
"2001","New_Mexico","kg m-2 s-1","SO2",1.03521657317653e-10
"2002","New_Mexico","kg m-2 s-1","SO2",9.42033895416074e-11
"2003","New_Mexico","kg m-2 s-1","SO2",9.43900805227496e-11
"2004","New_Mexico","kg m-2 s-1","SO2",9.2861620384346e-11
"2005","New_Mexico","kg m-2 s-1","SO2",8.79883431739725e-11
"2006","New_Mexico","kg m-2 s-1","SO2",7.46376276755667e-11
"2007","New_Mexico","kg m-2 s-1","SO2",6.23517098751457e-11
"2008","New_Mexico","kg m-2 s-1","SO2",5.07080288064568e-11
"2009","New_Mexico","kg m-2 s-1","SO2",4.62374536919284e-11
"2010","New_Mexico","kg m-2 s-1","SO2",3.95803334633229e-11
"2011","New_Mexico","kg m-2 s-1","SO2",3.50888378615011e-11
"2012","New_Mexico","kg m-2 s-1","SO2",3.39960431225243e-11
"2013","New_Mexico","kg m-2 s-1","SO2",2.92517723063411e-11
"2014","New_Mexico","kg m-2 s-1","SO2",2.64170830189766e-11
