STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960513,0,0,0,139,0,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960514,0,0,0,167,0,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960515,114,0,0,128,72,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960516,5,0,0,200,78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960517,0,0,0,217,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960518,0,0,0,333,156,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960519,0,0,0,356,194,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960520,0,0,0,367,183,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960521,66,0,0,333,139,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960522,0,0,0,267,106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960523,0,0,0,283,111,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960524,3,0,0,244,133,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960525,0,0,0,156,83,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960526,56,0,0,139,100,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960527,208,0,0,122,94,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960528,25,0,0,156,106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960529,124,0,0,156,50,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960530,0,0,0,206,44,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960531,0,0,0,233,44,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960601,0,0,0,256,94,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960602,0,0,0,244,111,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960603,0,0,0,233,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960604,127,0,0,278,111,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960605,0,0,0,256,106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960606,0,0,0,278,106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960607,81,0,0,294,172,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960608,23,0,0,289,178,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960609,445,0,0,244,189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960610,254,0,0,278,178,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960611,15,0,0,267,183,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960612,20,0,0,278,161,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960613,0,0,0,283,161,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960614,8,0,0,300,178,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960615,0,0,0,306,172,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960616,0,0,0,306,183,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960617,0,0,0,333,189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960618,8,0,0,278,189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960619,13,0,0,261,194,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960620,13,0,0,311,194,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960621,0,0,0,289,194,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960622,0,0,0,322,200,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960623,0,0,0,311,178,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960624,483,0,0,306,183,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960625,0,0,0,283,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960626,0,0,0,261,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960627,0,0,0,278,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960628,0,0,0,294,150,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960629,30,0,0,256,189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960630,0,0,0,328,189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960701,0,0,0,339,194,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960702,38,0,0,283,178,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960703,30,0,0,283,128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960704,0,0,0,233,111,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960705,0,0,0,278,111,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960706,0,0,0,311,133,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960707,0,0,0,311,167,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960708,13,0,0,311,200,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960709,0,0,0,306,172,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960710,0,0,0,256,122,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960711,0,0,0,256,117,,,
